stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395.34,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,404.56,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,10.51,0,81.49,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,66.09,0,0,0,12.59,0,12.59,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,6,0,0,4,0,0,1,7,3,0,0,5,0,2,0,0,1,2,0,1,15,0,0,42,0,0,196,1,1,5,0,1,12,0,0,0,0
 24-34,0,0,0,2.46,8.21,0,0,15.6,0,0,0,3.28,0.82,0,0.82,14.78,0,4.1,0,0,4.93,11.49,0,0.82,60.74,2.46,10.67,14.78,0,0,293.87,0,0,16.42,0.82,0.82,5.75,0,0,0.82,0
 36-46,0,0,0,0,4.03,0,0,9.67,1.61,0,1.61,3.22,0,0,0,0,0,1.61,1.61,0,4.83,9.67,0,2.42,68.48,0,7.25,12.89,0,0,290.04,1.61,0,9.67,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,6.31,0.57,0,6.31,1.72,0,1.72,0.57,1.72,0,0,1.15,0,8.61,1.72,0.57,8.61,8.03,0.57,0.57,27.54,0,1.72,12.62,0,0.57,219.77,0,0,5.74,0,0,3.44,0,0,0.57,0
 60-70,0,0,0.98,0,23.56,0,0,7.85,3.93,0,12.76,6.87,0.98,0,0.98,2.94,0,10.8,4.91,0,13.74,7.85,0,0,31.41,0.98,6.87,17.67,0,0,227.71,0,0,7.85,0,0,2.94,3.93,0,0,0
 72-82,0,0,1.96,0,34.36,0,0.98,9.82,0.98,0.98,28.47,13.74,0,0,0.98,4.91,2.94,11.78,7.85,0,27.49,15.71,0,0,24.54,0,4.91,12.76,0,0,217.93,0,0,7.85,0,0,1.96,9.82,0,0.98,0
 84-94,0,0,4.25,0,49.92,0,8.5,22.3,16.99,2.12,25.49,22.3,2.12,1.06,1.06,20.18,0,13.81,13.81,0,22.3,16.99,0,1.06,28.68,1.06,20.18,11.68,0,0,690.32,0,0,16.99,0,0,2.12,41.42,1.06,0,0
 96-106,0,0,3.28,0,74.31,2.19,6.56,31.69,12.02,0,33.88,36.06,0,0,0,27.32,0,17.49,8.74,0,18.58,18.58,1.09,2.19,28.41,0,15.3,10.93,0,0,649.15,0,0,16.39,0,0,2.19,48.09,2.19,2.19,2.19
108-118,0,0,0.77,3.83,98.81,0,16.09,47.49,21.45,0,27.57,51.32,0,0,2.3,24.51,1.53,26.81,13.02,0,14.55,19.15,0,1.53,23.74,0,11.49,16.09,0,0.77,620.43,0,0,13.79,0.77,0,2.3,91.15,0,0.77,0
120,0,0,0,1.96,47.03,0,3.92,25.48,11.76,0,17.64,33.32,0,0,0,9.8,0,1.96,15.68,0,19.6,17.64,0,0,19.6,1.96,3.92,3.92,0,0,315.53,0,0,5.88,0,0,0,15.68,0,0,0
