stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,593.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,269.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.55,2.63,0,0,47.32,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.76,3.15,0,0,56.65,0,3.15,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,2,7,0,0,4,0,0,4,0,1,0,0,0,0,0,0,0,8,0,8,91,1,0,0,3,2,0,12,1,9,29,19,0,2,0,0
 24-34,0,0,0,3.28,0.82,0,30.37,0,0,2.46,0,0,1.64,0,0.82,0.82,0,0,0,14.78,0,7.39,137.08,0,0,1.64,0,4.93,0,0,1.64,0.82,0.82,32.01,0,3.28,0,0.82
 36-46,0,0,0,0.81,0,0,31.42,0,0.81,1.61,0,0,0,0,0,0.81,0,0,0,9.67,0,1.61,65.26,0,0.81,0,0,2.42,0,0,0,0,0,10.47,0,0,0,0
 48-58,0,0,0.57,2.3,0,0,52.22,1.15,0,5.74,0,0,0,0,0,0,0,0,0,10.9,0,3.44,28.69,0,1.15,0,0,0.57,0,0,0.57,0,0,4.02,0,1.72,0,0.57
 60-70,0,0,0,2.94,0,0,31.41,0.98,0,5.89,1.96,0,0,0.98,0,0.98,0,0.98,0,14.72,0,0,17.67,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0.98,0.98
 72-82,0,0,0,0.98,0,0,27.49,0,0,8.83,0,0,0,0,0.98,0,0,0,0,36.32,0,4.91,19.63,0.98,0,0,0,0.98,0,0,2.94,0.98,0,2.94,0,3.93,0,0.98
 84-94,0,0,0,2.12,0,0,24.43,2.12,0,5.31,2.12,0,0,1.06,0,1.06,0,0,1.06,35.05,0,3.19,19.12,0,0,0,0,1.06,0,0,4.25,0,0,0,0,2.12,0,0
 96-106,0,0,0,0,0,1.09,13.11,0,0,6.56,0,0,2.19,0,0,0,1.09,0,0,20.76,0,0,8.74,0,0,0,0,0,0,0,5.46,0,0,0,0,2.19,0,1.09
108-118,0,0,0,2.3,3.06,0,12.26,0,1.53,11.49,1.53,0,0,0,0,1.53,0,0,0,18.38,0.77,2.3,15.32,0,0,0,0,0,0,0,3.83,1.53,0,0,0.77,1.53,0,0
120,0,0,0,3.92,0,0,13.72,3.92,0,3.92,0,0,0,1.96,0,3.92,0,0,0,3.92,0,5.88,13.72,0,0,0,0,0,0,0,3.92,0,0,1.96,0,0,0,0
