stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,4,1,0,0,0,2,0,50,7,18,0,0,0,0,0
 24-34,0.82,0,0,2.46,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0,109.17,0,3.28,0.82,0,2.46,0,0.82,3.28,0,39.4,0,0,0,0,0
 36-46,0,0,0,4.83,0,0,0,4.83,0,0,0,0,0.81,0,2.42,0,0,0,334.35,0.81,4.83,0,0,0,0,0.81,0,0,51.56,0,0,0,0,0
 48-58,0,1.72,0,26.97,0,0,1.15,8.61,0,0,0,0,0.57,0,8.03,0.57,0,1.72,592.17,4.02,3.44,0,0,0.57,0,0,0,0,67.71,0,0,0.57,0,1.15
 60-70,0,3.93,0,67.73,0.98,0,0.98,14.72,0,0.98,0,0.98,0,0,18.65,0,0.98,0.98,1232.79,4.91,4.91,0.98,0,0.98,0,0,0,0,161.95,0,0,0.98,0,0.98
 72-82,0.98,9.82,0.98,138.41,0,0.98,0.98,29.45,1.96,0.98,0,0,0,1.96,37.3,0,2.94,0,1411.63,7.85,5.89,0.98,0.98,0.98,0,0,0,0,109.95,0,1.96,1.96,0.98,1.96
 84-94,1.06,9.56,1.06,110.45,0,1.06,1.06,27.61,1.06,1.06,0,1.06,0,1.06,25.49,0,1.06,3.19,691.39,5.31,4.25,0,1.06,1.06,0,0,0,0,52.04,1.06,1.06,0,0,0
 96-106,0,8.74,0,71.04,0,0,0,30.6,0,0,2.19,2.19,0,0,22.95,2.19,2.19,0,608.72,9.84,0,2.19,1.09,2.19,0,0,0,0,27.32,1.09,0,1.09,0,1.09
108-118,0,3.06,0,55.15,0,1.53,0.77,16.85,0.77,1.53,0,0,0.77,0,27.57,0,0,0.77,608.17,5.36,4.6,0.77,0.77,0.77,0,0,0,0,25.28,0,0,0,0,0
120,0,9.8,0,80.35,1.96,1.96,0,29.4,1.96,1.96,0,0,0,0,21.56,0,1.96,1.96,797.63,13.72,5.88,3.92,1.96,5.88,0,0,0,0,21.56,0,0,3.92,0,0
