stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,12.09,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,4.02,0.57,0,0,0,0,0,1.15,0,0,1.15,14.35,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,2.94,9.82,0,0,0.98,0,0,0,0.98,0,0.98,0.98,19.63,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,3.93,8.83,0,0,1.96,0,0,0,1.96,0,0,0.98,30.43,0,0,0,0,0.98,0,0,0,0,0.98
 84-94,0,0,0,1.06,0,3.19,4.25,0,0,0,0,0,0,2.12,0,0,4.25,10.62,0,0,0,0,2.12,1.06,0,0,0,0
 96-106,0,0,0,0,2.19,4.37,17.49,1.09,1.09,1.09,0,0,0,2.19,1.09,0,7.65,24.04,0,1.09,0,0,0,0,0,0,2.19,0
108-118,0,0.77,0,0.77,0,5.36,19.92,0.77,0,0.77,0,0,0.77,0.77,0.77,0.77,4.6,23.74,0.77,0,1.53,0,2.3,0,0,0,0.77,0
120,0,0,0,0,0,3.92,23.52,0,0,0,3.92,1.96,0,3.92,0,0,5.88,29.4,0,0,0,0,1.96,0,0,1.96,0,0
