stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,3,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,4,1,1,0,0,0,0,1,0,8,2,2,0,0,0,0
 24-34,0,0,0.82,1.64,0,0.82,0,0,0,0,0,21.34,0,0,0,1.64,0,0,0,4.1,0,0.82,0.82,0,0,0.82,0,0.82,0,0.82,1.64,0,1.64,0,0
 36-46,0,0.81,0,0.81,0,0,0,0,0,0,0,17.72,0,0,0,1.61,0,0,0,4.83,0,0,0,0,0,2.42,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0.57,0,0,0,20.08,0,0,0.57,0,2.3,0,1.15,4.02,0,0,0,0,0,1.15,0,0,0,0,0.57,0,0,0,0.57
 60-70,0,1.96,0,1.96,0,1.96,0.98,3.93,0,0,0,29.45,0,0,0,0,2.94,0,2.94,1.96,0,0,0,0,0.98,0.98,0,0,0,0,0.98,0,0,0,0.98
 72-82,0,0,0,0.98,0,0,1.96,1.96,0.98,0,0,51.05,0,0.98,0,0,6.87,0,0,1.96,0,0.98,0,0,0,0.98,0,0,0.98,0,0,0,0.98,0,0.98
 84-94,0,1.06,1.06,0,0,1.06,1.06,5.31,0,0,0,70.09,0,0,0,0,8.5,0,1.06,4.25,0,0,0,0,0,5.31,0,0,0,0,2.12,1.06,2.12,1.06,1.06
 96-106,0,4.37,0,2.19,0,0,0,2.19,0,0,1.09,88.52,0,0,0,0,12.02,2.19,1.09,4.37,1.09,1.09,0,1.09,0,4.37,0,0,0,0,1.09,0,2.19,1.09,1.09
108-118,0,0.77,0,1.53,1.53,0.77,0.77,3.06,0.77,0,0,72,0.77,2.3,0,0,8.43,0.77,1.53,4.6,0,0,0,0,0,3.83,0,0,0,0,1.53,0.77,1.53,3.06,1.53
120,0,5.88,0,0,0,0,0,0,0,0,0,74.47,0,0,0,0,5.88,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
