stage,blastomeres,eye,glial,gut,mesenchyme,neural,olfactory,otic,periderm,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,5.75,0,0,0,0.82,0.82,0
 36-46,0,0,0,0,0,8.86,0.81,0,0.81,0.81,0,0
 48-58,0,0.57,1.15,0,0,6.31,0,0,0,1.72,0,0
 60-70,0,0.98,0.98,0,0,28.46,0,1.96,0,3.93,0,0
 72-82,0,0.98,0,0,0,39.27,0,0,0,0.98,0,0
 84-94,0,5.31,1.06,0,1.06,14.87,0,0,0,0,0,0
 96-106,0,0,2.19,0,0,8.74,0,0,0,1.09,0,1.09
108-118,0,1.53,0,0,0,13.79,0.77,0,0,0,0,0
120,0,3.92,0,1.96,0,35.28,0,0,0,0,0,0
