stage,erythrocytes,eye,glial,gut,immune,mesenchyme,neural,paraxial_mesoderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,3.15,3.15,0,0
 24-34,1.64,0,0,0,0,2.46,3.28,0,0,0
 36-46,0,0,1.61,0,0,0.81,2.42,0,0,0
 48-58,0,0,0.57,0,0,2.87,4.02,0,0.57,0.57
 60-70,0,0,0,0,0.98,2.94,2.94,0,0.98,0.98
 72-82,0,0,0.98,0,5.89,0.98,1.96,0,0,0.98
 84-94,0,0,1.06,0,3.19,3.19,0,0,0,1.06
 96-106,0,0,1.09,0,17.49,1.09,1.09,0,1.09,0
108-118,0,0,0,0,15.32,0.77,0,0,0,0
120,0,1.96,0,1.96,21.56,0,0,0,0,1.96
