stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2,8,119,32,0,45,0,2,0,16,14,0,2,0,4,0,0,0,1,64,0,0,48,587,9,7,5,13,0,9,7,125,10,4,126,220,0,0,2,0,0
 24-34,0,1.64,3.28,46.79,4.93,0,87.83,0,6.57,1.64,24.63,2.46,2.46,3.28,4.1,9.85,0.82,1.64,0,2.46,109.17,0,0.82,41.04,809.36,4.93,11.49,11.49,0,0,29.55,0,0,3.28,0,32.01,215.89,0,0,23.8,0,2.46
 36-46,0,0,0.81,8.86,0.81,0,108.77,0,0.81,2.42,28.2,0.81,0,3.22,2.42,0.81,3.22,3.22,1.61,1.61,80.57,0,1.61,22.56,788.75,5.64,12.89,8.86,0,0,24.17,0,0,2.42,0,0,203.03,0,0.81,12.89,0.81,2.42
 48-58,0.57,0,0,7.46,5.16,0,166.4,0,3.44,5.16,26.97,1.72,1.15,1.72,1.72,0,0.57,2.87,0.57,1.72,101.56,1.72,4.02,26.97,489.46,0.57,4.02,4.59,0.57,0.57,10.9,0,0,2.3,0.57,0,134.27,0,0.57,13.77,0.57,4.02
 60-70,0,0,0,12.76,2.94,0.98,243.42,0.98,0.98,6.87,32.39,1.96,0.98,2.94,10.8,0.98,0.98,4.91,2.94,2.94,144.28,0,5.89,12.76,432.85,1.96,2.94,4.91,0,0.98,16.69,0,0,0,0.98,0,97.17,0,1.96,11.78,2.94,2.94
 72-82,0,6.87,0.98,23.56,27.49,0,251.31,0.98,0,6.87,52.03,6.87,0,4.91,14.72,1.96,0.98,6.87,0.98,0,239.53,3.93,8.83,25.52,404.44,3.93,4.91,12.76,0,3.93,18.65,0,0,1.96,0,0,55.95,6.87,4.91,17.67,6.87,1.96
 84-94,0,4.25,0,39.3,31.86,0,162.49,0,7.43,5.31,25.49,7.43,5.31,2.12,18.05,6.37,3.19,4.25,1.06,2.12,160.37,3.19,8.5,29.74,210.28,2.12,9.56,8.5,0,0,70.09,0,0,5.31,0,0,39.3,4.25,1.06,22.3,5.31,5.31
 96-106,0,1.09,0,54.64,27.32,0,128.96,1.09,9.84,5.46,43.71,12.02,0,7.65,21.86,4.37,3.28,7.65,3.28,1.09,161.74,1.09,8.74,19.67,202.18,5.46,10.93,20.76,0,2.19,56.83,0,0,3.28,1.09,0,17.49,3.28,7.65,24.04,13.11,12.02
108-118,0,1.53,0.77,49.02,31.4,0,124.09,2.3,11.49,9.19,39.06,6.89,0,1.53,16.09,2.3,3.83,3.06,6.89,1.53,133.28,1.53,6.13,20.68,284.94,6.13,6.13,16.85,0,1.53,33.7,0,0,3.06,2.3,0,16.85,0.77,3.83,26.04,7.66,6.13
120,0,0,0,50.95,31.36,1.96,109.75,0,13.72,0,35.28,9.8,0,0,13.72,3.92,5.88,0,0,0,84.27,3.92,11.76,35.28,190.1,3.92,7.84,3.92,0,3.92,50.95,0,1.96,7.84,0,0,7.84,3.92,3.92,23.52,5.88,3.92
