stage,epidermis,eye,glial,gut,iridophores,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0
 24-34,0,0.82,0,0,0,1.64,0,0,2.46,0,0,0,4.93,0,0,0,0
 36-46,0,0,0,0,0,1.61,0,0.81,6.45,0,0,0,1.61,0,0.81,0,0
 48-58,0,2.87,0,0,0,4.59,0.57,0,6.89,0,0,0.57,0,0,0,0,0.57
 60-70,0,3.93,0,0,0.98,8.83,0,0,4.91,0,0.98,0,0,0,0,0,0
 72-82,0,0,1.96,0,0,9.82,0,0,5.89,0,0,0,0,0,0.98,3.93,0
 84-94,0,3.19,0,0,0,5.31,2.12,0,3.19,0,0,0,0,0,3.19,3.19,0
 96-106,1.09,14.21,2.19,0,0,6.56,0,0,3.28,0,0,0,0,1.09,1.09,2.19,0
108-118,0,12.26,0.77,0,0,5.36,2.3,0,2.3,0,0,0.77,0,0,0,0.77,0.77
120,1.96,23.52,0,0,1.96,5.88,0,0,5.88,0,0,0,0,0,0,0,1.96
