stage,blastomeres,epidermis,fin_epithelia,gut,immune,mesenchyme,mural_cell,muscle,neural,notochord,periderm,spinal_cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0.98,0,0,0.98,0,0,1.96
 72-82,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0.98,6.87
 84-94,0,0,0,1.06,0,0,0,0,0,0,1.06,0,0,8.5
 96-106,0,0,0,0,1.09,1.09,0,0,1.09,0,0,0,0,6.56
108-118,0,0.77,0.77,0,0,0,0,0,0.77,0,0,0,0,15.32
120,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6
