stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pgc,spinal_cord
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0
 14-21,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0,0.82,0,4.93
 36-46,0,0,0,0,0,0,0,0,0,0,4.83,0.81,0,0,0,0,6.45
 48-58,0,0,0,0,0.57,0,1.15,0,1.72,0,1.72,0,0,0,0,0,1.72
 60-70,0,0,0,0,4.91,0,1.96,0,0.98,0.98,1.96,0,0.98,0.98,0.98,0,0
 72-82,0,0,0,0.98,1.96,0.98,0,0.98,1.96,0,0.98,0.98,0,0,0,0,1.96
 84-94,0,0,0,0,0,0,1.06,0,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,3.28,1.09,2.19,0,2.19,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,1.53,0,0.77,0,0,0,0,0.77,0,0,0,0,0
120,0,0,1.96,0,1.96,0,0,0,3.92,0,0,1.96,0,0,0,0,0
