stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,78.86,0,0,0,23.66,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,47.2,0,0,0,6.29,0,0,0,0,0,0,396.52,3.15,0,0,50.35,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,7,3,4,0,0,0,0,3,0,0,3,0,3,46,0,5,1,0,0,0,3,1,14,5,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,4.1,0,0,0,0,0.82,1.64,0,1.64,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0.81,0,1.61,0,0,0,0,2.42,0,0,0.81,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,23.53,0,0.57,0,0,0.57,0,0,0.57,0.57,0.57,17.21,0,0,0,0,0.57,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0.98,0,156.06,0,0,0.98,0,0,0,0,1.96,0,0,30.43,0,0,0,0,0.98,0,0,0,0,1.96,0,0,0
 72-82,0,0,4.91,0,1.96,0,374.01,0.98,10.8,5.89,0,0,0,0,2.94,0.98,0.98,28.47,0,0.98,0,0,0,0,0,0,0,1.96,0,0,0
 84-94,0,0,0,0,1.06,0,184.79,0,9.56,3.19,0,0,0,0,2.12,0,0,12.74,0,0,0,0,0,0,0,0,0,3.19,0,0,4.25
 96-106,0,0,1.09,0,0,1.09,149.72,0,3.28,12.02,0,0,0,1.09,1.09,0,0,12.02,0,0,0,0,0,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0,0,1.53,0,85.02,0,1.53,6.89,0,0,0.77,0,0.77,0.77,0.77,12.26,0,0,0,0,0,0,0,0,0,0,0.77,0,0.77
120,0,0,1.96,0,0,0,47.03,0,3.92,1.96,0,0,0,0,1.96,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,1.96
