stage,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,neural,notochord,paraxial_mesoderm,spinal_cord
  3-4,52.71,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,28.92,2.63,10.51,0
 10-12,0,3.15,0,0,0,0,18.88,0,0,0
 14-21,0,0,1,0,0,0,4,0,0,0
 24-34,0,0,0,0,0,0.82,0.82,0,0,0.82
 36-46,0,0,0,0,0,0.81,1.61,0,0,0
 48-58,0,0,0,0,0,1.15,0.57,0,0,0
 72-82,0,0,0,0,0.98,0.98,0.98,0,0,0
 84-94,0,0,0,1.06,0,1.06,1.06,0,0,0
 96-106,0,0,0,1.09,1.09,1.09,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0.77,0,0,0
120,0,0,1.96,0,0,0,1.96,0,0,0
