stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pronephros,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,3,2,2,1,0,2,2,0,4,0,2,1,142,1,0,1,0,0,34
 24-34,0,0.82,0.82,0.82,0,0.82,0,5.75,0.82,0,4.1,0.82,6.57,2.46,155.96,0,0,0.82,0,0.82,39.4
 36-46,0,0,0.81,0.81,0,1.61,0,1.61,0,0,1.61,1.61,8.06,1.61,68.48,0,1.61,0,0,0.81,25.78
 48-58,0,0,0,0,0,1.15,0,1.72,0.57,0,0,0,7.46,2.3,6.89,0,0,0.57,0,0,2.3
 60-70,0,0.98,0,0,0,2.94,0,0.98,2.94,0,0.98,0,0.98,0.98,4.91,0,0,0,0,0,1.96
 72-82,0,0.98,0,0,0,2.94,0,0.98,5.89,0,2.94,0,2.94,0,6.87,0,0,0,0,2.94,0.98
 84-94,0,0,0,0,0,1.06,0,0,15.93,0,0,0,1.06,1.06,5.31,0,0,0,0,4.25,1.06
 96-106,0,6.56,0,0,0,0,0,2.19,27.32,1.09,0,0,3.28,1.09,8.74,0,0,0,0,0,0
108-118,0,2.3,0,0,0.77,3.06,0,0.77,49.02,0,0,0,0.77,0.77,6.89,0,0.77,0,0,2.3,0
120,0,0,0,0,0,3.92,1.96,0,84.27,0,1.96,0,1.96,0,11.76,0,0,0,0,5.88,0
