stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,gut,hatching_gland,ionocyte,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,7.89,0,0,13.14,0,2.63,0,0,49.95,0,15.77,0,0,0
 10-12,6.29,0,0,0,0,3.15,0,3.15,0,0,50.35,0,18.88,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,1,3,0,0,0,2,0
 24-34,0,0,0,0.82,0,0,0,0,0,0.82,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,0,1.15,1.15,0,0,0,0
 60-70,0,0.98,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0
 72-82,0,4.91,0,0,0,0,7.85,0,0,0,0,2.94,0,0,0,0
 84-94,0,0,0,0,0,0,4.25,0,1.06,0,0,1.06,0,0,0,0
 96-106,0,3.28,0,0,0,0,9.84,0,0,0,0,3.28,0,1.09,0,0
108-118,0,1.53,0,0.77,0,0,2.3,0,0,0,0,0.77,0,0,0,0
120,0,1.96,0,0,1.96,0,7.84,0,0,0,0,0,0,0,0,0
