stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,540.3,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,28.92,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,12.59,0,0,0,59.79,3.15,0,6.29,0,0,0,3.15,0,0
 14-21,0,0,0,2,6,0,0,0,15,0,0,0,0,0,1,0,1,0
 24-34,0,0,0.82,0,8.21,0,0,0,26.27,0,0,0,0.82,0,0,0,1.64,0
 36-46,0,0,0,0,3.22,0,0,0,15.31,0,0,0,0.81,0,0,0,1.61,0
 48-58,0,0,0,0,6.89,0.57,1.15,0,12.62,0,0,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,6.87,0,0,0,15.7,0,0,0,0,0,0,0,1.96,0.98
 72-82,0,0,0,0,1.96,0.98,0,0,6.87,0,0,0,0,0,0,0,1.96,0
 84-94,0,0,1.06,0,4.25,1.06,0,0,5.31,0,1.06,0,1.06,0,0,0,0,0
 96-106,0,0,1.09,0,3.28,1.09,0,1.09,4.37,0,0,0,1.09,1.09,0,0,0,0
108-118,0,0.77,0,0,1.53,0,0,0,7.66,0,0.77,0,0,0,0,0,0,0
120,0,0,1.96,0,0,0,0,1.96,7.84,0,0,0,0,0,0,0,0,0
