stage,axial,blastomeres,eye,gut,liver,mesenchyme,neural,paraxial_mesoderm,periderm,pronephros,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0
  5-6,12.26,42.91,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,7.89,0,0,0
 10-12,0,0,0,0,0,0,3.15,6.29,0,0,0
 14-21,0,0,0,0,0,0,5,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,0.57,0,0.57,0,0
 60-70,0,0,0,0,0,0,1.96,0,0.98,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0.98,0
 96-106,0,0,0,0,0,1.09,2.19,0,1.09,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0,0.77
