stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,144.96,2912.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.09,0,0,0,0,0,0,0,0,0,0
  5-6,226.8,4162.02,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,153.24,12.26,0,0,30.65,349.39,0,0,0,0,0,0,0,0,0,0
  7-9,226.07,475.8,0,623.01,0,7.89,1918.96,0,0,0,0,0,646.66,0,0,0,0,0,0,0,0,0,0,0,13740.28,439,0,0,4571.33,105.15,13.14,0,5.26,0,0,0,0,0,0,0
 10-12,9.44,541.28,0,708.07,0,75.53,1850.42,0,0,0,0,0,497.22,0,0,0,0,0,0,0,0,0,0,3.15,15036.22,531.84,0,0,4607.16,47.2,12.59,15.73,383.93,0,50.35,22.03,0,0,0,0
 14-21,1,0,3,76,962,139,333,0,0,0,70,36,97,11,0,75,0,1,8,5,346,5,0,421,3345,269,4,59,15,98,1,207,59,61,816,1268,0,8,0,5
 24-34,0,0,2.46,12.31,33.66,6.57,84.55,0,2.46,0.82,23.8,2.46,0.82,4.1,0,41.04,0.82,2.46,10.67,4.1,151.86,4.93,0,101.79,816.75,4.1,3.28,13.95,0,10.67,0,0,3.28,14.78,53.36,366.1,0,16.42,0,4.93
 36-46,0,0,0.81,0,2.42,0,62.04,1.61,0,0.81,0.81,0.81,0,1.61,0,8.86,0,0,2.42,0,66.87,2.42,0,16.11,381.08,0.81,0.81,2.42,0,4.03,0,0,0.81,3.22,0,173.22,0,1.61,0,0
 48-58,0,0,0,0,0,0,89.51,0,0,1.72,5.74,0,0,0.57,0.57,2.87,0.57,0,0,0.57,36.72,0,1.72,12.62,114.76,0.57,0,0,0,1.15,0,0,0,1.15,0,60.82,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,244.4,0.98,0,2.94,0.98,0,0,0,0,0,0,0,0,0,23.56,0,0,5.89,50.06,0,0.98,0,0,0,0,0,1.96,0,0,15.7,0,0,0,0
 72-82,0,0,0.98,0,0.98,0,171.79,0,0.98,0,2.94,0,0,0,0,0.98,0,1.96,0,0,16.69,0,0,7.85,29.45,0,0,3.93,0,0.98,0,0,0,0,0,11.78,0,0,0,0
 84-94,0,0,0,0,0,1.06,160.37,0,1.06,3.19,2.12,0,0,0,0,0,0,0,0,0,9.56,1.06,1.06,2.12,18.05,0,0,0,0,1.06,0,0,0,0,0,1.06,0,0,2.12,1.06
 96-106,0,0,0,0,1.09,0,80.87,0,0,1.09,3.28,1.09,0,0,1.09,0,0,0,0,0,8.74,0,0,0,17.49,0,0,1.09,0,1.09,0,0,0,0,0,1.09,1.09,0,0,0
108-118,0,0,0,0,0,0.77,32.17,0,0,1.53,1.53,0,0,0,0,0.77,0,0,0,0,7.66,0,0,2.3,16.85,0,0,0,0,2.3,0,0,0,0,0,1.53,0,0,0,0.77
120,0,0,0,0,1.96,0,37.24,0,0,1.96,1.96,0,0,0,0,1.96,1.96,0,0,0,7.84,0,0,0,5.88,0,0,1.96,0,0,0,0,1.96,0,0,0,0,1.96,0,0
