stage,blastomeres,epidermis,exocrine_pancreas,eye,glial,gut,mesenchyme,mural_cell,muscle,neural,olfactory,somites,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,12.59,0,3.15,0,0
 14-21,0,0,0,0,0,0,1,0,0,6,0,1,4,0
 24-34,0,0,0,3.28,0.82,0,1.64,0,0,8.21,0,0,0.82,0
 36-46,0,0,0,1.61,0.81,0,0.81,0,0,5.64,0,0,1.61,0
 48-58,0,0.57,0,0.57,0,0,1.15,0,0.57,1.15,0,0,0,0
 60-70,0,0,0,0.98,0,0,5.89,0,0,10.8,0,0,1.96,0
 72-82,0,0,0.98,0.98,0,0,1.96,0,0,3.93,0,0,0,0
 84-94,0,0,0,1.06,0,1.06,0,0,0,2.12,0,0,0,0
 96-106,0,0,0,0,0,0,3.28,0,0,2.19,1.09,0,0,0
108-118,0,0,0,0,0.77,0,1.53,1.53,0,2.3,0,0,0,0.77
120,0,0,0,1.96,1.96,0,0,0,0,3.92,0,0,1.96,0
