stage,blastomeres,erythrocytes,eye,glial,immune,melanocytes,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,13.18,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,6.13,0
  7-9,0,0,2.63,0,0,0,0,0,5.26,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,5,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,0,0,0,0
 36-46,0,0,2.42,0,0,0,0.81,0,0.81,0,0,0,0
 48-58,0,0,2.3,0.57,0,0.57,4.02,0,0.57,1.15,0,0,0.57
 60-70,0,0,5.89,0,0,0,15.7,0,0.98,3.93,0,0,0
 72-82,0,0.98,7.85,0,0,0,10.8,0,1.96,0,0,0,0
 84-94,0,0,0,0,1.06,0,26.55,0,0,1.06,0,0,0
 96-106,0,0,1.09,2.19,0,0,13.11,0,0,1.09,0,0,0
108-118,0,0,0.77,0.77,0,0,7.66,0,0.77,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0
