stage,axial,blastomeres,epidermis,eye,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,10,1,1,0,1,0,0,4,0
 24-34,0,0,2.46,4.93,0.82,0,0,0,0,0,0,0,3.28,0,0.82,28.73,0,0,0,0.82,0.82,0.82,9.03,0
 36-46,0,0,0,5.64,0.81,0.81,0,0,0.81,0,0,0,1.61,0,0.81,27.39,0,0,0.81,0,0,0,7.25,0.81
 48-58,0,0,0.57,9.18,0,1.72,0,0.57,0,0,0,0,3.44,0,2.3,14.35,0,0,0,0,0,0,2.3,0
 60-70,0,0,0.98,3.93,0,1.96,0,0,0,0,0,0,3.93,0.98,0,20.61,0,0,0,0,0.98,0,1.96,0
 72-82,0,0,0,2.94,0,0.98,0,0,0,0.98,0,0,4.91,0.98,0,5.89,0,0,0,0,1.96,0,0.98,0.98
 84-94,0,0,0,3.19,0,1.06,0,0,0,0,0,0,1.06,0,0,1.06,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,2.19,1.09,1.09,0,0,0,0,1.09,0,1.09,0,0,3.28,0,0,1.09,0,2.19,0,0,0
108-118,0,0,0.77,1.53,0,1.53,0.77,0,0,0,0.77,0,0.77,0,0,6.13,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,1.96,0,0,0,1.96,0,0,1.96,0,0,5.88,0,0,0,0,0,0,0,0
