stage,blastomeres,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,immune,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,13.18,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0.82,4.93,0,0,0,0.82
 36-46,0,0,0.81,0.81,0,0,0,0,0,7.25,0,0,1.61,3.22
 48-58,0,0,2.3,0.57,0.57,0.57,0,2.3,0.57,18.94,0,0,0.57,4.59
 60-70,0,0,4.91,0,0,1.96,0,0.98,0,52.02,0,0,0.98,4.91
 72-82,0,0,17.67,0,0,3.93,0,1.96,0.98,73.62,0,0,0,3.93
 84-94,0,0,7.43,0,0,0,1.06,0,0,41.42,0,0,0,4.25
 96-106,0,0,6.56,0,0,1.09,0,3.28,0,36.06,1.09,0,0,1.09
108-118,0,0.77,3.83,0,0,2.3,0,1.53,0,38.3,1.53,0,0.77,0.77
120,0,0,5.88,0,0,0,0,0,1.96,31.36,0,0,0,3.92
