stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,2596.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,21.03,0,10.51,0,0,0,78.86,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,502.08,15.77,0,0,197.15,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,9.44,0,3.15,0,34.62,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,232.88,9.44,0,0,113.29,0,3.15,3.15,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,9,1,0,35,0,0,0,5,0,1,0,0,0,1,3,11,6,0,0,3,81,3,2,1,3,0,0,0,9,0,0,12,19,0,0,4,0,3
 24-34,0,0,0.82,0,10.67,0.82,0,64.85,0,0,0,4.93,0.82,0,1.64,0.82,0.82,2.46,0,49.25,20.52,0,0,9.03,251.18,4.1,0.82,4.93,0,0,0,0,0,1.64,0.82,4.1,55.82,0,0,9.85,0,17.24
 36-46,0,0,0.81,0,2.42,0.81,0,56.4,0,0,0,4.83,0,0,0,6.45,0.81,2.42,0.81,16.92,14.5,0,0.81,4.83,186.92,1.61,2.42,0.81,0,0,0.81,0,0,0,0,0,37.87,0,0,2.42,0,7.25
 48-58,0,0,0,0,0.57,0,0,62.54,0,0,1.72,10.33,0,0,0,2.3,0,3.44,0,10.9,9.18,0.57,0,1.15,123.37,1.15,0,0.57,0,0.57,0.57,0,0,0,0,0,25.25,0,0,6.89,0,10.9
 60-70,0,0,0.98,0,0,0,0,101.1,0,0,0.98,15.7,0,0,0,10.8,0,6.87,0,8.83,10.8,0,0,1.96,177.66,0.98,1.96,0,0,0.98,0.98,0,0,0,0,0,13.74,0,0.98,3.93,0,5.89
 72-82,0,0,0.98,0,2.94,2.94,0,82.46,0.98,0,0.98,17.67,1.96,0,0.98,13.74,0.98,7.85,0,6.87,12.76,1.96,0,1.96,129.58,0.98,1.96,0,0,0,0,0,0,0.98,0,0,9.82,0,0,6.87,0.98,8.83
 84-94,0,0,0,0,1.06,1.06,0,79.65,0,3.19,0,15.93,3.19,0,0,20.18,2.12,9.56,0,21.24,13.81,0,0,2.12,56.29,0,2.12,2.12,0,0,1.06,0,0,2.12,0,0,5.31,2.12,0,6.37,1.06,12.74
 96-106,0,0,0,0,3.28,2.19,0,77.59,0,1.09,1.09,24.04,10.93,0,1.09,15.3,0,17.49,0,12.02,24.04,1.09,0,1.09,65.57,0,3.28,4.37,0,0,5.46,0,0,0,0,0,4.37,0,0,9.84,0,15.3
108-118,0,0,0.77,0,9.19,0,0.77,65.11,0,2.3,0,18.38,15.32,0,0,20.68,3.06,30.64,1.53,16.85,17.62,0,0,1.53,75.06,1.53,3.83,2.3,0,0.77,5.36,0,0,0.77,0,0,3.83,0,0.77,6.13,0,17.62
120,0,0,0,0,15.68,1.96,0,35.28,0,5.88,0,11.76,17.64,0,0,21.56,0,17.64,0,9.8,39.2,1.96,1.96,5.88,70.55,1.96,0,1.96,0,0,15.68,0,0,3.92,0,0,5.88,0,1.96,9.8,0,5.88
