stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.6,0,0,0,26.29,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,88.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.41,3.15,0,0,166.79,0,0,0,6.29,3.15,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,1,5,2,0,21,0,0,0,5,1,0,0,0,0,0,0,27,0,0,55,118,0,0,1,1,0,1,0,81,0,120,167,39,0,0,0,0,0
 24-34,0,0,0,0.82,2.46,0,0,6.57,0,0.82,4.93,6.57,0,0,0,0,0,0,0,83.73,0,0,77.98,313.57,0,0,0.82,0,0,1.64,0,0,0,61.56,47.61,79.62,0,0,6.57,0,0
 36-46,0,0,0,0,1.61,0,0,8.86,0,0,7.25,46.73,0.81,0.81,0,0,0,0,0,95.07,0,0.81,45.92,248.95,0,0,2.42,0,0,0.81,0,0,0,21.75,0,118.43,0,0,1.61,0,0
 48-58,0,0.57,0,0,2.3,0,0,19.51,0,0,6.89,74.59,1.72,0.57,0,0,0,0,0,166.98,0,1.15,28.69,106.73,0,1.15,2.3,0,0,1.15,0,0,0,3.44,0,77.46,0,0,0,0,0.57
 60-70,0,0,0,0,4.91,0.98,0,59.87,0,0.98,5.89,90.3,6.87,1.96,0.98,0,0,0.98,0,163.91,0,2.94,13.74,74.6,0,0,2.94,0.98,0.98,0,0,0,0.98,0.98,0,33.37,1.96,0,0,0,0
 72-82,0,0,0,0,16.69,2.94,0,150.19,0,0,4.91,107.98,1.96,2.94,0,0,0,0,0,206.15,0,0,31.41,89.33,0,4.91,5.89,0,0,0,0.98,0,0.98,0,0,11.78,3.93,0.98,0.98,4.91,0
 84-94,0,0,0,0,15.93,1.06,0,99.83,3.19,1.06,7.43,57.35,7.43,0,0,0,2.12,0,0,137,0,3.19,9.56,41.42,0,0,16.99,0,2.12,2.12,0,0,1.06,0,0,5.31,9.56,2.12,0,4.25,0
 96-106,0,0,0,0,13.11,1.09,3.28,72.13,0,1.09,4.37,51.36,2.19,3.28,0,1.09,0,0,0,113.66,1.09,2.19,9.84,42.62,0,2.19,14.21,0,3.28,1.09,0,0,1.09,0,0,3.28,8.74,1.09,0,2.19,0
108-118,0,0,1.53,0,9.96,0,9.19,48.26,0.77,0,3.83,51.32,13.79,3.83,0,1.53,0,0,0,94.21,0,0,3.06,43.66,0.77,0,10.72,0,0,0.77,0,0,0,0,0,0.77,16.09,0.77,0,1.53,0
120,0,0,1.96,0,11.76,0,0,37.24,1.96,0,1.96,74.47,17.64,5.88,0,0,0,0,1.96,129.35,1.96,3.92,13.72,56.83,0,0,11.76,0,0,3.92,0,0,0,0,0,9.8,15.68,0,1.96,3.92,0
