stage,blastomeres,epidermis,eye,glial,gut,immune,iridophores,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,23.66,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,1,0,7,0,0,0,0,6,0,0,1,0
 24-34,0,0,3.28,0,0,0,0,0,0.82,12.31,0.82,0,0,0,0.82,0,0,0,0
 36-46,0,0,2.42,0.81,0,0,0,1.61,0.81,14.5,0,0,0,0.81,4.83,0,0,0,0
 48-58,0,0,4.59,0.57,0,0,0,1.15,0,8.61,0.57,0,0,0.57,1.72,0,0.57,0,0.57
 60-70,0,0,10.8,0.98,0,0,0,0.98,0,7.85,0,0,0,0,0.98,0,0,1.96,0
 72-82,0,0.98,4.91,1.96,0.98,0,0,1.96,0,9.82,0,0.98,0,0,1.96,0.98,0,0,0
 84-94,0,0,7.43,2.12,0,0,1.06,1.06,0,1.06,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,1.09,1.09,0,1.09,0,2.19,0,5.46,0,0,0,0,0,0,0,1.09,0
108-118,0,1.53,3.83,2.3,1.53,0.77,0,0.77,0,2.3,0,0,0,0,0,0,0,0,0
120,0,3.92,3.92,0,0,0,0,1.96,0,1.96,0,0,0,0,3.92,0,0,0,0
