stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,30.65,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,1,9,0,0,6,36,0,0,0,2,0,16,5,0,0,1,11,0,0,1,0
 24-34,0,0,0,3.28,10.67,0,0,5.75,0,0.82,0,0,0.82,0,0,7.39,0,0,0.82,0,0,14.78,0.82,0,7.39,36.12,0.82,0.82,0.82,0,0,59.92,0,0,0,1.64,7.39,0,0,10.67,2.46
 36-46,0,0,0,0,8.86,0,0,8.06,0.81,0,0.81,2.42,0.81,0,0.81,9.67,0,0,0.81,0,0,15.31,0,0,4.03,46.73,0,0.81,0.81,0,0,45.12,0,0,0.81,0,12.09,0,0,10.47,0
 48-58,0,0,0,0,4.59,0,0,8.61,0,0.57,1.72,1.72,0.57,0,0,12.05,0,0,1.72,0,0,17.79,0.57,0,2.87,32.13,0,0.57,1.72,0,0,14.92,0,0,0,0,4.59,0,0,5.74,0
 60-70,0,0,0.98,0,6.87,0,0,10.8,0,0.98,0.98,3.93,3.93,0,0,19.63,0,0.98,0.98,0,0,31.41,0,0.98,4.91,28.46,1.96,0.98,0,0,0,28.46,0,0,0,0,2.94,0,0.98,6.87,0
 72-82,0,0,0.98,0,8.83,0.98,0,15.71,0,0,0,3.93,2.94,0,0.98,17.67,0,1.96,0,0,0,41.23,0,0.98,5.89,41.23,0.98,0.98,0.98,0,0.98,26.5,0,0,0,0,0.98,0.98,0.98,4.91,0
 84-94,0,0,3.19,0,8.5,2.12,0,10.62,0,1.06,0,3.19,2.12,0,0,23.36,0,1.06,1.06,2.12,0,29.74,1.06,0,3.19,27.61,2.12,0,0,0,0,82.84,0,0,0,0,0,0,1.06,7.43,0
 96-106,0,0,1.09,0,24.04,0,0,3.28,0,1.09,2.19,1.09,3.28,0,1.09,48.09,0,1.09,3.28,2.19,0,27.32,1.09,1.09,3.28,22.95,3.28,1.09,0,0,0,101.63,0,0,0,0,0,0,0,15.3,2.19
108-118,0,0,1.53,0,21.45,0.77,0.77,5.36,0,1.53,0.77,6.13,4.6,0,0,25.28,1.53,3.83,0.77,1.53,0.77,42.89,1.53,0.77,1.53,17.62,0.77,0.77,1.53,0,0.77,55.15,0,1.53,0,0,0.77,1.53,0,13.79,1.53
120,0,0,0,0,27.44,1.96,0,13.72,1.96,3.92,5.88,1.96,5.88,0,1.96,62.71,1.96,0,1.96,3.92,0,23.52,3.92,0,3.92,21.56,0,3.92,5.88,0,0,82.31,0,1.96,0,0,0,0,0,9.8,0
