stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pgc,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,11,0,0,0,4,0,0,0,0
 24-34,0,10.67,0,4.93,0,1.64,0,1.64,0,0.82,0,0,0,0,0.82,0,0,0.82,0,0,0,77.98,37.76,0.82,3.28,0,0.82,4.1,0,0,0,0
 36-46,0,4.83,0,0.81,0,2.42,0,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0,0,134.55,49.95,0.81,1.61,0,0,6.45,0,0.81,0,0
 48-58,0,4.59,0,1.15,0,2.3,0,0,0.57,1.15,0.57,0,0,0,0,0,0,1.15,0,0,0,72.87,37.87,1.15,1.15,0,0,8.61,0,0,0.57,0.57
 60-70,0,5.89,0,4.91,0,9.82,0,0,0,2.94,4.91,0,0,0,0.98,0,0,0,0,0,0.98,65.76,48.09,0.98,0.98,0,0,12.76,0.98,0,0,0.98
 72-82,0,34.36,0,11.78,0,16.69,0,0,0,7.85,20.61,0,0,0.98,0,0,0,4.91,0,0,0.98,107,98.17,0.98,0.98,0.98,0,11.78,12.76,1.96,0,0.98
 84-94,0,24.43,0,15.93,0,20.18,0,0,0,4.25,20.18,0,0,0,1.06,0,0,4.25,1.06,1.06,1.06,78.59,120.01,7.43,3.19,0,0,7.43,59.47,0,0,0
 96-106,0,20.76,0,20.76,1.09,21.86,0,1.09,0,6.56,30.6,8.74,3.28,0,1.09,2.19,0,13.11,0,0,3.28,62.29,214.2,4.37,5.46,2.19,0,4.37,90.71,0,1.09,0
108-118,0,16.85,0,6.89,0,14.55,0.77,1.53,0,3.06,19.92,0,1.53,0,0,0.77,0,6.89,0,0,0,93.45,133.28,2.3,6.13,0,0.77,0.77,94.21,1.53,1.53,0.77
120,0,13.72,0,9.8,0,7.84,0,0,1.96,3.92,17.64,0,1.96,0,1.96,0,0,1.96,0,0,0,105.83,97.99,0,0,0,0,0,25.48,0,0,0
