stage,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,3,0,0,0,0,14,0,0,0,0,0,0,0,2,0,3,24,0,0,1,1,0,16,2,41,0,0,1,0
 24-34,0,0,0.82,1.64,0,6.57,0,1.64,17.24,0,0,0,0,0,0.82,0,1.64,0,0.82,74.7,0,0,0,0,0,8.21,1.64,45.15,0,0,1.64,0
 36-46,0,0,0,0,0,26.59,0,0.81,24.98,0,0,0,0,0,0,0,2.42,0,0,127.3,0,1.61,0,0,1.61,6.45,0,50.76,0,0,1.61,0
 48-58,0,0,0,0.57,0,43.61,0.57,1.15,20.08,0.57,0,0.57,0,0.57,0,0,3.44,0,1.15,99.84,0,2.3,0.57,0,1.15,0,0,45.33,0,0,0.57,0
 60-70,0,0,0,0,0,62.82,0,0.98,34.35,0,0,0,0,1.96,0.98,0.98,5.89,0.98,0,55.95,0,0.98,3.93,0,0,0.98,0,15.7,0,0,0,0
 72-82,0,0.98,0,0,0,16.69,0,0.98,19.63,0.98,0,0,0,0.98,0,0,3.93,0,0.98,26.5,0,0.98,1.96,0,0,0,0,12.76,0.98,0,0,0.98
 84-94,0,0,0,2.12,0,11.68,0,0,16.99,1.06,0,0,0,1.06,0,0,2.12,0,0,11.68,0,0,5.31,0,0,2.12,0,9.56,0,1.06,0,0
 96-106,0,0,0,0,0,9.84,0,0,9.84,0,0,0,1.09,0,2.19,0,2.19,0,0,9.84,0,3.28,2.19,0,0,0,0,8.74,0,0,0,1.09
108-118,0,0,0,0,0,9.19,0,0,9.96,0.77,0,0,0,0.77,2.3,0.77,2.3,0,0,9.96,0,1.53,2.3,0,0,0,0,4.6,0,0,1.53,0
120,0,0,0,1.96,1.96,1.96,0,0,9.8,0,0,0,0,0,1.96,1.96,1.96,0,0,9.8,0,7.84,15.68,0,0,1.96,0,7.84,0,0,1.96,0
