stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,300.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,10.51,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,63.09,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,6.29,6.29,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,457,1,0,1,0,2,0,1,2,1,0,9,1,0,1,0,0,4,0,0,6,0,0,0,0,30,1,0,0,1,2,0,0,1,0,0
 24-34,0,0,0,4.1,850.41,0,0,8.21,0,50.89,0,0.82,0.82,13.13,0,13.13,0,1.64,0.82,0.82,5.75,12.31,0,0.82,33.66,0.82,4.1,0,0,48.43,0,2.46,0,0,1.64,0,0,3.28,0,0
 36-46,0,0,0,0,563.16,0,0,4.83,0,65.26,0,0.81,1.61,6.45,0,8.86,1.61,1.61,0,0,0.81,12.09,0,0.81,23.36,1.61,7.25,0,0,27.39,0,0.81,0,0,4.83,0,0,1.61,0,0
 48-58,0,0,0,0,486.59,0,0,8.03,0,82.63,0.57,1.72,0.57,24.1,0.57,2.87,0,1.72,0.57,0,5.16,9.18,0.57,0,18.94,0,1.72,0.57,0,18.94,0,1.15,0.57,0,7.46,0,0,0.57,0,1.72
 60-70,0,0,0,0,557.5,0,0,6.87,0.98,90.3,0.98,2.94,8.83,12.76,0.98,2.94,0,0.98,0,0,3.93,11.78,0,0,16.69,0,4.91,0,0,21.59,0,1.96,0,0,3.93,2.94,0,0,0.98,0.98
 72-82,0,0,1.96,0,743.12,0.98,0,14.72,0,89.33,0.98,5.89,33.38,11.78,2.94,6.87,0.98,8.83,0,0,9.82,20.61,0,0,32.39,0,9.82,5.89,0,39.27,0,0,0,0,0,12.76,0,2.94,1.96,1.96
 84-94,0,0,1.06,0,1397.64,0,0,10.62,0,163.55,1.06,2.12,65.85,18.05,6.37,24.43,5.31,3.19,1.06,0,4.25,23.36,1.06,0,21.24,0,6.37,1.06,0,62.66,0,1.06,0,0,0,69.03,0,2.12,2.12,0
 96-106,0,0,1.09,0,1695.01,6.56,1.09,15.3,0,165.02,4.37,2.19,118.03,2.19,14.21,22.95,0,5.46,3.28,0,10.93,31.69,2.19,2.19,38.25,0,20.76,1.09,0,60.11,0,2.19,0,0,0,77.59,0,1.09,0,1.09
108-118,0,0,1.53,2.3,1638.39,0.77,0.77,7.66,0,176.94,0,0.77,134.81,0,9.19,20.68,0.77,3.06,0.77,0,9.96,20.68,2.3,0.77,26.81,0,10.72,5.36,0,45.19,0,1.53,0,0,0,101.87,0.77,2.3,0.77,0.77
120,0,0,1.96,0,1124.92,0,0,11.76,3.92,111.71,3.92,1.96,68.59,0,0,9.8,1.96,5.88,1.96,0,7.84,25.48,0,3.92,39.2,0,9.8,0,0,52.91,0,0,1.96,0,0,31.36,0,1.96,0,0
