stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
 24-34,0.82,0,0.82,0,0,0,0,0,0,0,0,0.82,0.82,0.82,39.4,0.82,0.82,0.82,10.67,0,0,0,0
 36-46,0,0,3.22,0,0,4.03,0,0,0,0,0,0,0,0,67.68,0.81,0,0,17.72,0,0,0,0
 48-58,0,0,9.18,0.57,0,16.64,0,0,0,0,0,0.57,0,0.57,114.76,1.15,0,0,15.49,0,0,0,0
 60-70,0,0,16.69,0,0,17.67,0,0,0,0,0,2.94,0,0,232.62,1.96,0,0,22.58,0,0,0,0
 72-82,3.93,0.98,71.66,0,0,29.45,1.96,0.98,0,0,0,9.82,0,1.96,300.39,0.98,0.98,0,17.67,0,0,1.96,0
 84-94,1.06,0,46.73,1.06,0,14.87,0,2.12,0,0,0,4.25,0,1.06,147.62,3.19,0,1.06,10.62,0,0,0,0
 96-106,1.09,1.09,45.9,0,1.09,22.95,0,0,0,0,1.09,7.65,0,3.28,157.37,0,1.09,1.09,3.28,1.09,0,0,1.09
108-118,1.53,0.77,46.72,0,0,13.02,0,0,0.77,0.77,0,4.6,0,0.77,160.09,5.36,0,0,4.6,0.77,0,0,0.77
120,3.92,0,25.48,0,0,11.76,0,1.96,0,0,0,1.96,0,1.96,135.23,1.96,0,1.96,1.96,0,1.96,0,0
