stage,epidermis,erythrocytes,eye,immune,iridophores,melanocytes,mesenchyme,muscle,neural,olfactory,spinal_cord,xanthophores
  7-9,0,0,0,0,0,0,0,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,12,0,0,0,0,1,0,0,0,0,0,0
 24-34,39.4,0,0,0,0,12.31,0.82,1.64,2.46,0,0.82,0
 36-46,4.03,0,0,0,0,26.59,0,0,4.03,0,0.81,0
 48-58,0.57,0,0,0,0,20.66,0.57,0.57,0,0,0,0.57
 60-70,0.98,0,0.98,0,0,7.85,0,0,1.96,0,0,0
 72-82,0.98,0,0.98,0,0,8.83,1.96,0,0,0.98,0,1.96
 84-94,0,1.06,0,1.06,0,5.31,1.06,0,0,0,0,0
 96-106,0,0,1.09,2.19,1.09,4.37,2.19,0,1.09,2.19,0,0
108-118,0,0,0,1.53,0,3.06,3.06,0,1.53,0,0,0
120,0,0,1.96,1.96,0,1.96,1.96,0,0,0,0,0
