stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,60.46,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,18.88,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,2,13,3,8,0,0,0,3,2,0,1,0,0,0,0,0,0,7,0,0,4,115,5,0,0,1,0,0,7,0,8,27,0,1,0,0
 24-34,0,0,0,0,6.57,0.82,16.42,0,0.82,0,2.46,1.64,0,0,0,0,0.82,1.64,0.82,0.82,15.6,0,0.82,8.21,210.96,0,1.64,4.93,0,0,1.64,0,0.82,1.64,46.79,0,0,0,0.82
 36-46,0,0,0,0,0,0,37.87,0,0,0,6.45,0.81,0,0,0,0,0.81,0,0,0,19.34,0,0,6.45,158.72,1.61,0.81,1.61,0,0,2.42,0,0,0,44.31,0,1.61,0,0.81
 48-58,0,0,0,0,2.3,0,40.17,0,0.57,0,9.75,0,0,0,0.57,0,0.57,0,0,0.57,10.9,0,1.72,1.15,81.48,0.57,0,0,0,0.57,0,0,0,0,22.38,0,0,0,0
 60-70,0,0,0,0,1.96,0,44.17,0.98,2.94,0,9.82,0,0.98,0,0,0,0.98,1.96,0,0,11.78,0,0.98,1.96,71.65,0.98,0.98,0.98,0,0,0,0,0,0,14.72,0,0,0,0
 72-82,0,0,0.98,0,1.96,2.94,42.21,0,0,3.93,17.67,0.98,0,0.98,1.96,0,0,0.98,0,0.98,29.45,0.98,0.98,4.91,75.59,0,0,0.98,0,0,0.98,0,0,0,5.89,0,0.98,0,0.98
 84-94,0,0,0,0,6.37,2.12,27.61,0,3.19,0,10.62,1.06,1.06,0,1.06,2.12,0,1.06,0,0,19.12,0,0,2.12,48.85,0,0,0,0,0,2.12,0,0,0,6.37,0,3.19,2.12,0
 96-106,0,0,0,0,4.37,1.09,18.58,0,0,2.19,15.3,2.19,0,2.19,2.19,2.19,0,1.09,0,0,21.86,0,1.09,3.28,45.9,0,1.09,1.09,0,0,4.37,0,0,0,3.28,0,2.19,0,0
108-118,0,0,0.77,0,5.36,0.77,27.57,0,0,0.77,12.26,0,0,0.77,0,1.53,1.53,0.77,0,1.53,21.45,0,2.3,0.77,46.72,1.53,0,0.77,0,0,3.06,0,0,0,6.89,0,0,0,1.53
120,0,0,0,0,5.88,0,17.64,0,1.96,1.96,5.88,0,0,0,0,0,0,1.96,0,0,9.8,0,0,3.92,43.12,1.96,3.92,0,0,0,7.84,0,0,0,1.96,1.96,0,1.96,0
