stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,289.91,5903.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.27,0,0,0,0,0,0,0,0,0,0,0
  5-6,398.43,6914.23,55.17,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0,521.02,42.91,0,0,140.98,0,116.46,0,0,0,0,0,0,0,0,0,0,0
  7-9,42.06,136.69,757.07,0,2.63,0,128.81,0,0,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,4292.69,99.89,0,0,1729.69,0,5.26,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,47.2,254.9,0,47.2,0,50.35,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,1652.16,15.73,0,0,1293.4,0,3.15,0,9.44,94.41,0,15.73,0,0,0,0,0,0
 14-21,0,4,4,520,764,0,13,0,0,0,2,3,1,2,19,13,0,3,1,2,150,0,0,86,389,12,2,5,112,0,3,1,972,1,2,523,221,0,0,90,0,11
 24-34,0,0,0.82,44.33,301.25,0,11.49,1.64,0,20.52,2.46,0,0.82,4.1,18.06,2.46,0,18.06,2.46,26.27,555.72,0.82,0,146.11,299.61,0.82,2.46,3.28,0,0,2.46,0,2.46,0.82,0.82,112.46,131.34,0,0,256.93,0,69.77
 36-46,0,0,0,2.42,28.2,0,11.28,0.81,0,45.12,2.42,0,0,0.81,1.61,0,0,15.31,0,70.09,435.87,0,0,86.21,129.71,0.81,1.61,0,0,0,0.81,0,1.61,0.81,0,1.61,32.23,0,0,132.94,0,74.93
 48-58,0.57,0,0,3.44,28.12,0,41.31,0.57,1.72,45.9,0,0.57,0,2.3,3.44,0,1.15,11.48,0.57,56.81,502.65,0.57,0.57,61.4,133.7,0,0.57,0.57,0,0,1.72,0,0,0,0,0,30.41,0,0,125.09,0,96.4
 60-70,0,0,0,6.87,9.82,0,73.61,2.94,3.93,59.87,8.83,0.98,0,1.96,9.82,0.98,3.93,5.89,0,27.48,457.39,0,2.94,24.54,157.04,0,0.98,0,0,0.98,0,0,0,0.98,1.96,0,16.69,0,0,81.47,0.98,59.87
 72-82,0,0,0,5.89,42.21,0,104.06,1.96,0.98,99.15,11.78,0.98,0,4.91,23.56,0,9.82,5.89,0,33.38,788.27,0,4.91,52.03,126.63,0,1.96,0.98,0,0.98,2.94,0,0,0.98,0,0,9.82,0,2.94,191.42,2.94,74.61
 84-94,0,0,0,15.93,52.04,0,89.21,4.25,3.19,69.03,5.31,2.12,0,5.31,20.18,1.06,10.62,5.31,1.06,61.6,515.09,1.06,7.43,37.17,73.28,0,2.12,1.06,1.06,1.06,6.37,0,0,0,0,0,11.68,1.06,4.25,178.42,9.56,97.71
 96-106,1.09,0,0,20.76,79.78,0,64.48,6.56,1.09,63.39,10.93,0,0,16.39,41.53,2.19,12.02,8.74,4.37,42.62,478.67,0,10.93,28.41,80.87,1.09,1.09,3.28,0,2.19,6.56,0,0,0,0,0,2.19,0,3.28,203.27,5.46,91.8
108-118,0,0,0,24.51,58.21,0.77,41.36,2.3,4.6,52.09,8.43,3.83,0,6.89,44.43,0.77,11.49,6.89,2.3,57.45,422.05,1.53,3.06,30.64,93.45,0,0.77,0.77,0,0,5.36,0,0,0,0.77,0,0.77,0,1.53,163.15,4.6,155.49
120,0,0,0,17.64,58.79,0,27.44,5.88,0,50.95,1.96,1.96,1.96,7.84,31.36,1.96,7.84,1.96,0,23.52,290.05,1.96,3.92,39.2,54.87,0,1.96,1.96,0,5.88,3.92,0,0,0,0,0,0,0,1.96,143.06,1.96,62.71
