stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,869.74,18409.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882.92,0,0,0,0,0,0,0,0,0,0
  5-6,747.82,6791.64,18.39,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,128.72,12.26,0,0,36.78,134.85,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,13.14,13.14,0,0,0,15.77,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,294.42,7.89,0,0,68.35,0,23.66,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,2,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,6,0,1,5,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,1.64,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,1.64,1.64,18.06,0,0.82,0.82,0,11.49,0.82,0,0,0,13.13,0,0,0,0,0.82
 36-46,0,0,0,0.81,0,0,8.06,0.81,0,0,0.81,0.81,0,0,0,0,0,0,0,0,2.42,1.61,37.87,0.81,0,0.81,0,7.25,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,11.48,0,0,0,7.46,0,0,0,0,0.57,0,0,0,1.15,4.02,0.57,37.3,0,0,0,0,1.72,0,0,0.57,0,8.03,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,4.91,0,2.94,0.98,9.82,1.96,0,0,0,0,0,0,0,0.98,3.93,0,16.69,0,0.98,1.96,0,5.89,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,3.93,0,6.87,0,0,0,8.83,0,0,0,0,0.98,0.98,0,0,0,4.91,0,24.54,0,0.98,0.98,0,5.89,0,0,0,0,0.98,0,0.98,0,0.98,0
 84-94,0,0,0,0,4.25,0,7.43,0,0,1.06,13.81,0,0,0,4.25,0,0,0,0,1.06,5.31,0,7.43,0,0,0,0,8.5,0,0,0,0,2.12,0,0,0,0,1.06
 96-106,0,0,0,3.28,1.09,0,5.46,0,0,0,14.21,0,0,0,0,1.09,0,1.09,0,0,4.37,0,7.65,0,0,1.09,0,8.74,0,0,0,0,2.19,2.19,1.09,0,0,0
108-118,0,0,0,2.3,6.89,0,7.66,1.53,0,0,16.09,0,0,0.77,3.06,0.77,0.77,0,1.53,1.53,9.96,1.53,8.43,0.77,0,1.53,0,3.06,0,0,0.77,0,0.77,0,0.77,1.53,0,0.77
120,0,0,0,1.96,9.8,1.96,7.84,0,0,0,17.64,0,0,0,5.88,1.96,0,1.96,0,1.96,13.72,1.96,19.6,3.92,0,0,0,9.8,0,0,0,0,1.96,0,0,0,1.96,1.96
