stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,153.24,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,7.89,0,0,0,7.89,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,94.63,2.63,0,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,9.44,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,15.73,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,7,0,1,1,0,0,3,3,0,2,1,0,0,0,0
 24-34,0,0,0.82,0.82,1.64,0.82,0,0.82,0,0,0.82,0,1.64,0,0,0,0.82,0,1.64,3.28,0,0.82,0,0,0.82,4.1,0,0.82,0.82,0,0,0,12.31,0.82,0,0.82,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0.81,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0.81,0,0,0,0,5.64,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,4.59,0,0,0,0,18.94,0,0.57,0,0,0,0,4.02,0,1.15,0,0,0.57,4.59,0,0.57,0,0,0,0,4.59,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,6.87,0,0,0,0,41.22,0,1.96,0,0,0,0,3.93,0,0.98,0,0,0,5.89,0,0.98,0,0,0,0,12.76,0,0,0,0,0,0,0
 72-82,0,0,11.78,0,0.98,0,0,8.83,0,0,0,0.98,126.63,0,2.94,0,0,0,0,2.94,0,7.85,0,0,0.98,18.65,0,1.96,0,0,0.98,0,49.08,0,0,0.98,0,0,0,0.98
 84-94,0,0,7.43,0,2.12,0,0,8.5,0,0,0,0,246.39,0,3.19,0,0,0,0,6.37,0,1.06,0,0,0,13.81,0,1.06,0,0,5.31,0,87.09,0,0,0,0,0,0,0
 96-106,0,0,6.56,0,6.56,2.19,0,16.39,2.19,2.19,0,2.19,394.52,0,5.46,0,0,0,0,5.46,1.09,4.37,0,0,1.09,51.36,0,0,1.09,0,6.56,0,98.36,0,0,1.09,0,2.19,1.09,0
108-118,0,0,3.83,0,1.53,0.77,0.77,5.36,0,0,0.77,2.3,432,0,1.53,0,0.77,0.77,0,9.96,0,6.13,1.53,0.77,0,37.53,0,0,0,0,2.3,0,104.94,0,0,0,0.77,0,0.77,0.77
120,0,0,0,0,1.96,0,0,9.8,0,0,0,5.88,311.61,0,1.96,1.96,1.96,0,0,9.8,0,5.88,0,0,1.96,41.16,0,0,0,0,1.96,0,52.91,0,0,0,1.96,0,0,0
