stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching_gland,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,47.2,0,6.29,0,0,0,0,0,0
 14-21,0,2,1,6,6,0,0,0,0,0,0,0,1,281,0,0,1,0,0,1,65,0
 24-34,0,0.82,0,1.64,16.42,0,0.82,0,0,0,0,0,0.82,210.96,0.82,0,0,0.82,0.82,0,36.94,0.82
 36-46,0,0,0,1.61,12.09,0,0,0,0,0,0,0,0,148.24,0,0,0,0,0,0,12.89,0
 48-58,0.57,0,0,1.15,13.2,0,0,0,0.57,0,0,0,0.57,89.51,0,0,0,0,0,0,12.05,0
 60-70,0,0,0,2.94,5.89,0,0,0,0,0,0.98,0,0,36.32,0,0,0,0.98,0,0,4.91,0
 72-82,0,0,0,2.94,3.93,0,0,0,0,0,0,0,0,37.3,0,0,0,0,0,0,8.83,0
 84-94,0,1.06,0,5.31,2.12,0,0,1.06,0,0,0,1.06,1.06,33.99,1.06,0,0,0,0,0,10.62,0
 96-106,0,0,0,0,3.28,0,0,1.09,0,1.09,1.09,0,0,26.23,0,0,0,0,0,0,8.74,0
108-118,0,0,0,0.77,3.06,0.77,0,0,0,0,0.77,0,0,50.55,0,0,0,0,0,0,6.13,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,39.2,0,0,0,0,0,0,5.88,0
