stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,neural,otic,periderm,pronephros
  3-4,52.71,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,18.88,0,0,0
 24-34,0,0.82,0,0,0,0.82,1.64,0.82,1.64,0
 36-46,0,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0.57,0,0,0,1.15,0.57,0
 60-70,0,0,0,0.98,0,0,1.96,0.98,0.98,0.98
 72-82,0,0,0.98,0,0,0,0,2.94,0,0
 84-94,0,0,0,0,0,0,1.06,1.06,2.12,1.06
 96-106,0,0,0,2.19,0,1.09,0,7.65,2.19,0
108-118,0,0,0,0,0.77,0,0,6.89,1.53,0
120,0,0,0,0,0,0,0,3.92,1.96,0
