stage,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,immune,ionocyte,iridophores,mesenchyme,neural,notochord,otic,periderm,slow_muscle,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0.82,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,2.42,0,0,0.81,0,4.03,1.61
 48-58,0,0,0,0,0,0,0,0,0,6.89,0,0,0,0,0,0.57
 60-70,0,0,0.98,0,0,0.98,0,0,0,7.85,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0.98,0,0,1.96,3.93,0,0,0,0,0,1.96
 84-94,1.06,0,3.19,0,1.06,0,0,0,1.06,2.12,0,1.06,0,0,0,0
 96-106,1.09,0,1.09,0,0,0,0,0,1.09,4.37,0,0,1.09,0,0,1.09
108-118,0,0.77,0.77,0.77,0,0,0.77,0.77,0.77,2.3,0,0,0.77,0,0,0.77
120,3.92,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
