stage,endocrine_pancreas,epidermis,eye,glial,gut,heart,iridophores,mesenchyme,neural,olfactory,somites,spinal_cord,xanthophores
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,1,0,0,0,2,0,0,10,0,0,4,0
 24-34,0,0,0,0,0,0,0,0,31.19,0.82,0.82,9.03,0
 36-46,0,0,1.61,0.81,0,0,0,0.81,62.84,2.42,0,14.5,0
 48-58,0,0,1.15,0.57,0,0,0,1.15,63.69,1.15,0,12.05,0.57
 60-70,0,0,2.94,0,0,0,0,0.98,108.95,3.93,0,2.94,0
 72-82,0,0,5.89,2.94,0,0,0,0,83.44,0.98,0,1.96,0
 84-94,1.06,0,3.19,2.12,0,0,0,1.06,36.11,0,0,2.12,0
 96-106,0,0,0,1.09,0,0,0,1.09,26.23,0,0,1.09,0
108-118,0,0,3.83,0.77,0.77,0,1.53,0,30.64,0.77,0,0.77,0
120,0,0,3.92,0,0,0,0,1.96,23.52,1.96,0,0,0
