stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,9.44,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,7,0,5,0,0,0,0,0,0,2,0,0,0,0,0,16,0,0,0,13,0,0,0,0,0,0,1,2,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,1.64,0,0,0.82,14.78,0,0,0.82,0,13.13,0.82,0.82,3.28,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,3.22,0,0,0,2.42,0.81,0,0,0.81,0,0,0,0,2.42,0.81,0,0,13.7,0,0,0,0,44.31,0,0,2.42,0,0,1.61,0,0
 48-58,0,0,0,0,2.87,0,3.44,0,0,0,2.87,0.57,2.3,0,0,0,0,0,0,1.15,0,0.57,0,10.9,0,0,1.15,0,70.58,0.57,0,4.59,0,0,6.31,0,0
 60-70,0,0,0,0,7.85,0,6.87,0,0,0,8.83,0.98,0,0,2.94,0,0,0,1.96,11.78,0,3.93,0,6.87,1.96,0.98,0.98,0,73.61,0,0,3.93,0,0.98,8.83,2.94,0
 72-82,0,0,0,0,13.74,0,8.83,0,0,0.98,27.49,2.94,0,0.98,0,0,0,0,7.85,25.52,0,5.89,0,9.82,0,0,5.89,0,45.16,0.98,0,1.96,1.96,4.91,18.65,24.54,0.98
 84-94,0,0,1.06,0,26.55,0,9.56,0,3.19,0,23.36,5.31,2.12,0,0,2.12,0,0,43.54,11.68,1.06,7.43,0,7.43,1.06,3.19,9.56,0,97.71,3.19,0,0,6.37,2.12,12.74,19.12,0
 96-106,0,0,1.09,0,28.41,1.09,7.65,1.09,7.65,0,43.71,9.84,0,0,3.28,2.19,1.09,1.09,53.55,28.41,1.09,8.74,0,19.67,2.19,8.74,12.02,0,107.1,2.19,0,0,10.93,6.56,24.04,32.79,0
108-118,0,0,0,0.77,36.77,0,9.19,0.77,21.45,0.77,39.06,19.92,0,0,4.6,2.3,0,0,104.17,29.87,0,4.6,0,16.09,0.77,3.06,13.02,0,83.49,3.83,0,0.77,24.51,5.36,22.98,26.04,0
120,0,0,0,0,31.36,0,11.76,0,13.72,0,25.48,11.76,0,1.96,3.92,0,0,0,52.91,21.56,1.96,7.84,0,11.76,0,1.96,5.88,0,45.08,5.88,0,0,13.72,1.96,9.8,9.8,0
