stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.24,0,0,0,0,0,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,1.61,0,0,45.12,0,0,0,0,4.03,0,0.81,0
 48-58,0,7.46,0,0,0,0,0,0,0,0,0,2.87,0,0,67.14,0.57,0,0,1.72,2.3,0,0,0.57
 60-70,0,58.89,0,0,0,1.96,0,0,0,0,0,4.91,0,0.98,130.54,0,0,0,0.98,12.76,0,0,1.96
 72-82,0.98,168.85,0,0.98,0,11.78,1.96,0,0,0,0,3.93,1.96,1.96,150.19,1.96,0,1.96,0,9.82,0,0,8.83
 84-94,0,86.03,1.06,0,1.06,8.5,0,1.06,2.12,1.06,0,6.37,2.12,0,76.47,1.06,0,1.06,3.19,6.37,4.25,1.06,10.62
 96-106,3.28,92.89,0,0,1.09,6.56,0,0,0,0,0,13.11,1.09,3.28,76.5,2.19,0,1.09,0,5.46,6.56,0,5.46
108-118,2.3,79.66,0,0,2.3,5.36,2.3,0,4.6,0,0.77,5.36,2.3,0,93.45,0.77,0,2.3,0,4.6,11.49,0,6.13
120,1.96,52.91,0,0,0,13.72,0,0,5.88,0,0,0,0,0,113.67,0,0,0,0,1.96,9.8,0,5.88
