stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,122.59,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,7.89,0,2.63,0,0,13.14,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,186.64,5.26,0,0,76.23,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,84.97,0,34.62,0,0,12.59,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,2533.31,179.38,0,0,258.05,0,3.15,0,12.59,0,3.15,15.73,0,0,0,0,0
 14-21,0,0,1,6,175,35,21,0,1,0,74,1,5,0,0,0,1,0,0,0,138,0,0,118,3879,391,0,3,2,0,4,59,46,3,247,2119,0,0,14,0,0
 24-34,0,0,1.64,2.46,62.39,3.28,28.73,0,1.64,9.85,61.56,0.82,1.64,0.82,0,2.46,0.82,0.82,1.64,0,228.2,0,0,147.75,3211.19,64.03,2.46,2.46,0,0,6.57,2.46,41.04,2.46,96.86,1385.61,0,0,45.97,0,1.64
 36-46,0,0,0,0.81,20.95,0,180.47,0,2.42,15.31,93.46,0,0,2.42,2.42,0,0,0.81,0.81,0.81,211.09,0,0,62.84,3053.49,27.39,1.61,3.22,0,0,4.83,0,21.75,0.81,0,961.97,0,0,36.26,0,0
 48-58,0,0,0,0,10.9,0.57,223.78,1.15,2.87,15.49,176.73,0,0.57,2.87,1.15,0,0.57,0,1.15,0,151.48,0,0,28.12,1713.38,8.61,0.57,1.72,0,0,2.3,0,13.77,0,0,486.59,0,0.57,25.82,0.57,0.57
 60-70,0,0,0.98,0,7.85,0,157.04,0,0,8.83,172.75,0,0,1.96,1.96,0,0,0.98,0,0,104.04,0,1.96,14.72,1187.64,7.85,0,0,0,2.94,2.94,0,10.8,0,0,156.06,0,0,9.82,0,1.96
 72-82,0,0,0,0,10.8,1.96,130.56,0.98,1.96,13.74,152.16,0,0,1.96,0,0,2.94,0,0,0,96.2,0,1.96,15.71,753.92,1.96,0,0.98,0,3.93,0.98,0,20.61,0.98,0,28.47,0.98,1.96,8.83,0,0.98
 84-94,0,0,0,0,11.68,0,111.51,1.06,1.06,10.62,104.08,0,0,0,0,1.06,0,1.06,2.12,0,72.22,0,0,12.74,442.87,4.25,0,1.06,0,1.06,3.19,0,31.86,0,0,33.99,2.12,2.12,7.43,0,0
 96-106,0,0,1.09,0,13.11,2.19,68.85,0,1.09,9.84,71.04,0,0,0,2.19,0,1.09,1.09,0,0,33.88,1.09,2.19,9.84,349.71,3.28,0,0,0,4.37,7.65,0,45.9,0,0,5.46,2.19,1.09,3.28,0,0
108-118,0,0,0,0,6.89,0,55.15,0,1.53,11.49,62.04,3.06,0,0,0,0.77,0,0,0.77,0,32.17,0,1.53,10.72,415.92,6.13,0,0,0,1.53,0.77,0,31.4,0.77,0,5.36,0,0,2.3,0,0
120,0,0,0,0,9.8,0,48.99,0,0,9.8,90.15,0,0,0,1.96,0,0,0,0,0,31.36,0,0,9.8,319.45,1.96,0,0,0,1.96,1.96,0,21.56,0,0,5.88,0,1.96,3.92,0,0
