stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,9,1,0,0,2,0,1,2,0,3,5,0,0,2,0,0
 24-34,0,0,0,4.1,0,0,0,0.82,0,0,0.82,0,0.82,0.82,0,0,0,0,0.82,0,0,0.82,4.93,0,0,0,0,0,4.1,0,0,0,1.64,0,0,4.93,0,0.82
 36-46,0,0,0,0,0,0,0.81,1.61,1.61,0,0,0,0,1.61,0,0,0,0,0,0,0,2.42,12.09,0,3.22,0,0,0,5.64,0,0,0,1.61,0,0,0.81,0,0
 48-58,0,0,0,1.72,0,0,1.15,0,0,0.57,0,0,1.72,0.57,0,0,0,0.57,2.3,0,0,0,12.62,0.57,0.57,0,0,0,5.74,0,0,0,0.57,0,0,0.57,0,0.57
 60-70,0,0.98,0,1.96,0,0,5.89,0.98,0.98,1.96,0.98,0,0,0,0.98,0,0,0,6.87,0,0,1.96,10.8,0,3.93,0,0,0.98,11.78,0,0,0,0.98,0,0,3.93,0,3.93
 72-82,0,0,0,3.93,0.98,0,6.87,0,0.98,4.91,0.98,0.98,6.87,1.96,0,0,0,0.98,7.85,0,0.98,1.96,23.56,0,6.87,0,0,0.98,10.8,0,0,0,0,0.98,1.96,6.87,0.98,0
 84-94,0,0,0,10.62,0,0,4.25,1.06,0,1.06,5.31,1.06,3.19,1.06,3.19,1.06,1.06,4.25,3.19,0,1.06,1.06,7.43,0,4.25,0,0,0,36.11,0,0,0,1.06,2.12,0,4.25,0,0
 96-106,0,0,0,5.46,0,0,3.28,0,1.09,3.28,3.28,0,12.02,2.19,1.09,1.09,0,2.19,7.65,0,1.09,3.28,8.74,0,8.74,1.09,0,1.09,45.9,0,0,0,1.09,2.19,1.09,9.84,0,0
108-118,0,0,0,13.79,0.77,1.53,6.89,1.53,0.77,3.06,6.13,0,13.02,2.3,1.53,0,0,0,7.66,0.77,0,0,22.21,0,2.3,0,0,0.77,37.53,0,0,0,0,1.53,1.53,6.13,0,0.77
120,0,0,0,7.84,5.88,0,3.92,0,0,0,3.92,0,5.88,5.88,0,1.96,1.96,0,5.88,0,0,3.92,13.72,0,1.96,0,0,1.96,76.43,0,3.92,0,0,0,0,9.8,0,0
