stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,22,0,0,0,0,0,0,2,0,24,0,0,0,0,0
 24-34,0,0.82,1.64,2.46,0,3.28,0,0,1.64,0.82,0.82,0,0,0,0.82,0,0,0.82,0,0,3.28,110.82,0.82,11.49,0,0,0,7.39,0,0,100.97,0,0,0.82,0,0
 36-46,0,0.81,0,0.81,0,4.03,0,0,0,7.25,0,0,0,0,0,0,0,4.03,0,0,1.61,338.38,0,16.11,0,0,0,8.86,0,0,147.44,0,0,0,0,0
 48-58,0,0.57,0,2.3,0,26.97,0.57,0,0,20.66,0,0,0,0,0,0,0,3.44,0,0.57,0.57,409.7,0,12.62,0.57,0,0,4.02,0,0,115.91,0,0,0,0,0
 60-70,0,0,0,4.91,0,79.5,0,0,0.98,43.19,0,0,0.98,0,0,0,0,9.82,0,0,0.98,771.48,0,18.65,0,0,0,9.82,0,0,143.3,0,0,0,0,0
 72-82,0,0.98,0,2.94,0.98,108.96,0,0,0,46.14,0,0,0,0.98,0,0,0,15.71,0,0.98,1.96,693.05,0,19.63,0.98,0,0.98,5.89,0,0,76.57,0,0.98,1.96,0.98,0.98
 84-94,0,0,0,3.19,1.06,78.59,1.06,1.06,0,42.48,1.06,0,0,1.06,0,0,2.12,13.81,0,1.06,1.06,365.34,0,12.74,1.06,0,0,10.62,0,0,37.17,1.06,1.06,0,0,1.06
 96-106,0,1.09,0,3.28,0,65.57,0,0,1.09,37.16,1.09,3.28,0,0,0,1.09,1.09,8.74,1.09,2.19,1.09,284.14,1.09,21.86,1.09,0,0,3.28,0,0,14.21,1.09,1.09,1.09,0,0
108-118,0,0,0,8.43,0.77,54.38,0,0,0,33.7,0.77,0,0.77,0.77,0,0,0,12.26,0,0,0.77,320.17,0,16.85,0,0,0,3.83,0,0.77,13.79,0,0,1.53,3.83,0
120,0,0,0,5.88,0,62.71,1.96,0,0,23.52,0,1.96,0,0,0,0,0,11.76,0,1.96,1.96,292.01,0,11.76,0,0,0,1.96,0,0,19.6,0,0,1.96,1.96,0
