stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,1,1,2,386,90,4,0,0,0,0
 24-34,2.46,0,2.46,0,0,0,0,0,0,0.82,0,0,0,0.82,0,9.03,14.78,0.82,0,0.82,0,204.39,4.1,2.46,0,0,1.64,0
 36-46,0,0,3.22,0,0,0,0.81,0,0,0,0,0.81,0,4.03,0.81,4.83,21.75,0.81,0.81,2.42,0,169.19,0,5.64,0,0,0,0
 48-58,1.72,0,20.08,0.57,0,0.57,5.74,0,0,0,0,0,0.57,6.89,0,3.44,51.07,0,0.57,0.57,0,148.62,0,14.92,0,0,0.57,1.15
 60-70,0.98,0,13.74,1.96,0,0,0,0,0,1.96,0,0,0,0,0,2.94,19.63,0,0.98,0.98,0,73.61,0,1.96,0,0,0,0
 72-82,0,0,12.76,2.94,0,0,3.93,0,0,0,0,0,0,2.94,0,0.98,20.61,0.98,0,0,0,51.05,0,2.94,0,0,1.96,0
 84-94,1.06,0,6.37,9.56,1.06,0,0,0,0,0,0,0,0,9.56,0,2.12,19.12,0,0,6.37,0,108.33,0,4.25,0,0,1.06,0
 96-106,5.46,1.09,24.04,14.21,1.09,1.09,6.56,1.09,2.19,1.09,0,0,0,15.3,1.09,2.19,21.86,2.19,0,4.37,0,122.4,0,1.09,0,1.09,1.09,1.09
108-118,0.77,0.77,1.53,13.02,0.77,0.77,2.3,0,0.77,0.77,0,0.77,0,6.13,0,0,10.72,0.77,0.77,0.77,0,101.11,0,0.77,0,0,0,0
120,0,0,1.96,7.84,0,0,0,0,0,1.96,1.96,0,0,3.92,0,0,1.96,3.92,0,0,1.96,37.24,0,1.96,1.96,0,0,0
