stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1,59,15,0,16,0,0,0,6,7,0,1,0,0,0,0,0,0,19,0,0,28,210,18,1,1,26,0,1,35,6,1,56,83,0,0,3,0,0
 24-34,0,0.82,1.64,40.22,0.82,0,54.18,0,5.75,3.28,17.24,1.64,0,1.64,0,1.64,0,2.46,0.82,0,111.64,0.82,0,47.61,656.68,16.42,4.93,4.93,0,1.64,2.46,0,9.03,3.28,33.66,132.16,0,0,24.63,0,0.82
 36-46,0,0,0,23.36,0.81,0,194.97,0.81,4.03,8.06,66.06,0,0,7.25,0,0.81,0,2.42,1.61,1.61,199,3.22,5.64,31.42,1268.93,9.67,6.45,5.64,0,1.61,3.22,0,4.83,1.61,1.61,265.87,0,0.81,29.81,0,2.42
 48-58,1.15,0.57,0.57,24.67,0,0,468.22,0.57,4.59,10.9,131.4,0,1.72,6.31,0.57,1.72,0.57,2.3,0,3.44,274.28,0,15.49,30.41,1211.88,4.59,3.44,8.61,0,3.44,6.31,0,2.3,1.72,0,280.02,0,1.72,26.97,0.57,1.72
 60-70,0,0,0,35.33,0,0,968.76,2.94,3.93,8.83,187.47,1.96,0.98,8.83,3.93,0.98,4.91,6.87,1.96,0.98,368.07,0,26.5,31.41,1309.35,3.93,8.83,11.78,0,4.91,11.78,0,2.94,0.98,0,231.64,1.96,12.76,25.52,4.91,3.93
 72-82,0,0.98,0,57.92,3.93,0,571.33,1.96,10.8,11.78,194.37,3.93,0,12.76,0,3.93,0,12.76,2.94,1.96,436.84,1.96,20.61,34.36,1063.14,6.87,11.78,18.65,0,5.89,10.8,0,0.98,0.98,0,91.29,5.89,15.71,71.66,15.71,2.94
 84-94,1.06,2.12,0,82.84,1.06,1.06,534.2,4.25,13.81,12.74,140.19,11.68,1.06,8.5,5.31,5.31,11.68,9.56,5.31,3.19,306.93,6.37,33.99,24.43,534.2,7.43,9.56,24.43,0,1.06,35.05,0,8.5,3.19,0,48.85,8.5,14.87,43.54,14.87,5.31
 96-106,0,5.46,0,83.06,4.37,0,346.43,3.28,6.56,8.74,144.26,14.21,1.09,9.84,5.46,4.37,5.46,13.11,6.56,3.28,252.45,2.19,14.21,22.95,425.12,2.19,14.21,25.14,0,5.46,36.06,0,1.09,1.09,0,30.6,15.3,8.74,80.87,16.39,2.19
108-118,0,1.53,0,65.11,1.53,6.89,271.15,3.83,16.09,6.89,94.21,13.02,0,4.6,5.36,6.89,16.09,6.89,4.6,0,195.32,0,11.49,18.38,530.81,4.6,9.19,19.15,0,6.13,27.57,0,7.66,3.83,0,19.92,26.81,10.72,48.26,12.26,6.13
120,1.96,0,0,82.31,1.96,0,231.25,3.92,19.6,11.76,103.87,17.64,0,7.84,5.88,0,7.84,3.92,3.92,0,146.98,5.88,17.64,25.48,413.51,5.88,5.88,23.52,0,1.96,33.32,0,9.8,0,0,19.6,19.6,11.76,60.75,3.92,0
