stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,gut,immune,mesenchyme,neural,notochord,olfactory,otic,periderm,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,6.57,0,0,0,0,1.64
 36-46,0,0,0.81,0,0,0,0,0.81,12.89,0,0,0,0,3.22
 48-58,0,0,1.15,0,0.57,0,0,0,10.9,0,0.57,0,0.57,1.15
 60-70,0,0,1.96,0,0.98,0,0,0.98,15.7,0,0,0,0.98,0
 72-82,0,0,3.93,0,0.98,0.98,0,1.96,43.19,0,0,0,0,1.96
 84-94,0,1.06,1.06,1.06,1.06,0,0,2.12,14.87,0,0,2.12,0,3.19
 96-106,0,0,2.19,0,1.09,0,0,1.09,16.39,0,1.09,0,0,1.09
108-118,0,0.77,0,0,0.77,0,0,0,13.02,0,0,1.53,0,3.06
120,0,0,5.88,0,1.96,0,1.96,1.96,31.36,0,0,1.96,0,1.96
