stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,glial,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,1,1,2,0
 24-34,0,0,0,0.82,0,0.82,0,0,0.82,0,0,13.13,0,0,0,0,0,0,1.64,0
 36-46,0,0,0,0,0,0.81,0,0,0,0.81,0,8.86,0,0.81,0,0.81,0,0,0.81,0
 48-58,0,0,0,0,0,0.57,1.15,0,0,0,0,3.44,0,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,0,4.91,1.96,0,0,0.98,0.98,1.96,0,0,0,0,0,0,0.98,0.98
 72-82,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.12,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0.77,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
