stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,36,3,2,0,21,0,0,0,52,0,0,5,39,0,0,0,0,1
 24-34,4.93,1.64,0,0,7.39,0,2.46,0,0.82,0,1.64,4.1,0,0,0,0.82,0.82,3.28,0,0,0,289.76,0.82,2.46,1.64,0,0,0.82,0,0,0,0,0.82,125.59,0,0,0.82,0,4.93
 36-46,0.81,0.81,0,0,10.47,0,0,0,6.45,0,2.42,2.42,0,0,0,0,0.81,1.61,0,0.81,4.83,672.73,0.81,2.42,0,0,0,0.81,0,0,0,0,0,207.06,0,0,0,0,4.03
 48-58,1.15,2.87,0.57,0,94.68,0.57,0.57,1.15,20.66,0.57,0,6.31,0.57,0.57,0,0,0,12.05,0,0.57,3.44,845.79,0,2.87,3.44,0.57,0,1.15,0,0,0,0,0,192.8,0,0,1.15,0,6.31
 60-70,1.96,4.91,0,0,293.48,0,0,0.98,27.48,1.96,0,7.85,0,0,0,0.98,0,16.69,0,0,4.91,1221.01,0,5.89,2.94,0,0,0,0,0,0,0.98,0,165.88,0,0,0,0,2.94
 72-82,5.89,6.87,1.96,0,511.45,0,0.98,3.93,39.27,1.96,3.93,9.82,0,0,0,0.98,0.98,31.41,0,0,5.89,1137.75,0,1.96,5.89,0,0,0,0,0,0,0,0,88.35,0.98,2.94,0.98,0.98,2.94
 84-94,4.25,10.62,3.19,0,315.43,0,0,1.06,39.3,2.12,1.06,11.68,1.06,0,0,1.06,0,29.74,1.06,3.19,2.12,594.74,1.06,4.25,6.37,0,0,5.31,0,0,0,0,0,63.72,1.06,4.25,2.12,1.06,1.06
 96-106,3.28,8.74,3.28,1.09,334.41,0,1.09,0,30.6,3.28,1.09,21.86,0,0,0,2.19,0,22.95,0,1.09,1.09,566.09,2.19,7.65,3.28,0,0,6.56,1.09,0,1.09,1.09,0,33.88,0,1.09,2.19,0,4.37
108-118,3.06,13.79,0,1.53,271.92,0,1.53,3.06,32.94,1.53,0,15.32,1.53,0.77,0.77,0,0,18.38,0,0.77,4.6,685.54,1.53,0.77,2.3,0,0,6.13,0,0,0.77,0.77,0,19.92,0.77,0.77,0.77,0.77,6.13
120,7.84,15.68,3.92,0,266.53,3.92,0,0,52.91,3.92,0,15.68,0,0,1.96,0,1.96,29.4,1.96,0,3.92,952.46,1.96,3.92,0,0,1.96,3.92,0,0,0,0,0,17.64,1.96,3.92,0,1.96,5.88
