stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,237.2,2503.81,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0
  5-6,122.59,1397.56,0,0,0,0,0,12.26,0,0,0,61.3,0,0,42.91,0,0,0,0,0
  7-9,15.77,13.14,26.29,0,0,39.43,0,15.77,0,0,0,362.76,13.14,136.69,2.63,7.89,0,0,0,0
 10-12,0,3.15,12.59,0,0,31.47,0,3.15,0,0,0,103.85,6.29,56.65,0,6.29,0,3.15,0,0
 14-21,0,0,0,13,3,2,0,0,4,0,5,34,2,0,1,0,4,3,8,8
 24-34,0,0,0,3.28,0,1.64,0,0.82,0.82,0,0,14.78,0,0,9.85,0,0,0.82,0,1.64
 36-46,0,0,0,0,0,0.81,0,0,0.81,0.81,0,3.22,0,0,1.61,0,0,0,0,1.61
 48-58,0,0,0,0,0,1.15,0.57,0,0,0,0,1.15,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
