stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
 14-21,4,4,4,6,0,3,0,0,0,6,0,6,162,1,1,0,1,0,2,11,5,49,0,1
 24-34,0.82,3.28,0,13.13,0,0,0,0,0,4.1,0,2.46,52.53,0,0,0.82,0,0,0,0,0,13.95,0,0
 36-46,0,0.81,0,12.09,0,0.81,0,0.81,0,1.61,0,0,19.34,0.81,0,0,0,0,0,0,0,4.03,0,0
 48-58,0,0.57,0,9.18,0,0,0,0,0,3.44,0,0,6.31,0,0,0.57,0,0,0.57,0,0,1.15,0,0
 60-70,0,0,0,1.96,0.98,0.98,0,0,0.98,1.96,0,0,5.89,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,1.96,0,5.89,0,0,0,0.98,0,0,5.89,0,0,0,0,0.98,0.98,0,0,0.98,0,0
 84-94,0,2.12,0,0,0,2.12,0,0,0,0,0,1.06,9.56,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,4.37,0,2.19,0,0,0,3.28,3.28,2.19,7.65,0,0,0,0,1.09,2.19,0,0,1.09,2.19,0
108-118,0,0.77,0,1.53,0,2.3,0.77,0,0,3.83,0,0,6.89,0,0,0,0,0,1.53,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,1.96,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0
