stage,epidermis,eye,fin_mesenchyme,glial,ionocyte,mesenchyme,muscle,neural,otic,periderm,spinal_cord,xanthophores
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,12.59,0,0,0,0
 14-21,1,0,0,0,0,0,0,2,20,0,0,0
 24-34,0.82,0,0,0,0,0.82,0,0.82,1.64,0,0.82,0
 36-46,0,0,0,0,0,6.45,0.81,0,0.81,0.81,2.42,0
 48-58,0,0.57,0.57,2.3,0,15.49,2.87,1.15,0,0.57,2.3,0
 60-70,0.98,0,0,5.89,0,17.67,0.98,0.98,0.98,0,1.96,0
 72-82,0,2.94,0,42.21,0,42.21,0,2.94,1.96,0,0.98,0
 84-94,4.25,0,0,31.86,0,13.81,1.06,1.06,0,0,0,1.06
 96-106,5.46,2.19,0,72.13,0,16.39,0,3.28,2.19,0,0,0
108-118,3.06,0.77,0,62.04,0,16.85,0,4.6,1.53,0,0,0
120,1.96,1.96,0,70.55,1.96,5.88,0,3.92,0,0,0,0
