stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,0,13.14,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,78.86,5.26,0,0,42.06,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,9.44,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,10,1,0,10,0,0,0,2,0,0,1,0,0,0,0,0,5,0,0,3,31,0,0,0,2,0,0,8,0,6,11,0,1,0,0
 24-34,0,0,0,3.28,0,0,4.93,0,0,0,0,0,0,0.82,0,0,0,0,0.82,2.46,0,0,2.46,32.83,0,0.82,0,0,0,0,0,0.82,0,5.75,0,0,0,0
 36-46,0,0,0,0,0,0,8.06,0,0,0.81,0,0,0,1.61,0,0,0,0.81,0,2.42,0,0,0.81,27.39,0,0,0.81,0,1.61,0.81,0,0,0,4.83,0,0,0,0
 48-58,0,0,0,1.72,0,0,6.89,0,0,1.15,0,0,0,4.59,0,0,0,0,2.3,4.02,0,0,1.15,13.77,0,0,0,0,0,0,0,0.57,0,2.87,0,0.57,0,0
 60-70,0,0,0,1.96,0,0,11.78,0,0,1.96,0,0,0,20.61,0.98,0,0,0,2.94,5.89,0,0,0,33.37,0,0,0,0,3.93,0,0,0.98,0,6.87,0,0,0,0.98
 72-82,0,0,0,0.98,1.96,0.98,9.82,0,0,4.91,0,0,0,20.61,0,0,0,0,0,10.8,0,0.98,0,23.56,0,0,0,0,0,0,0,0,0,5.89,0.98,0.98,0,0
 84-94,0,0,0,4.25,2.12,0,5.31,1.06,0,1.06,0,0,1.06,36.11,0,0,0,0,3.19,9.56,0,0,2.12,12.74,0,0,1.06,0,3.19,0,0,1.06,0,1.06,0,0,0,0
 96-106,0,0,0,7.65,1.09,0,12.02,1.09,0,3.28,0,0,1.09,39.34,0,0,1.09,0,3.28,3.28,1.09,1.09,3.28,13.11,0,0,1.09,0,5.46,0,0,1.09,0,1.09,0,1.09,0,0
108-118,0,0,0.77,6.89,0,0,9.19,0.77,0.77,1.53,0.77,0,0,31.4,0,0.77,0,0,2.3,9.96,0,0,0.77,14.55,0.77,0.77,0.77,0,8.43,0,0,0.77,0,0.77,0,0.77,0.77,1.53
120,0,0,0,7.84,1.96,0,1.96,0,0,5.88,1.96,0,1.96,48.99,1.96,0,0,0,1.96,11.76,1.96,1.96,3.92,15.68,0,0,1.96,0,3.92,0,0,1.96,0,3.92,0,0,0,1.96
