stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,2,4,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,1.64,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0,161.71,0,0.82,0.82,0,0.82,0.82,0,31.19,0,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,0,7.25,0,0,1.61,0,0,0,0,0,0,0,2.42,0,0,0,627.62,0,1.61,0.81,0,0.81,0,0,86.21,0,0,0,0,0
 48-58,0,0,0,0,3.44,0,0,55.66,0,0,9.18,0,0,0,0.57,0,0,0.57,5.74,0.57,0.57,0.57,1348.44,0.57,0.57,1.15,0,0.57,0,0,105.58,0,0,0.57,0,1.72
 60-70,0,0,0,0,4.91,0,0,158.03,0,0.98,36.32,0,0,0,0,0,0,0,11.78,0,0,0,2487.18,0,0,0,0,0.98,0,0,141.34,0.98,0.98,0,0,0
 72-82,0,0,0.98,0,14.72,1.96,0,252.29,0,0,53.99,0.98,0,0,0.98,0,0.98,0.98,27.49,0,0,1.96,2530.72,0,0,1.96,0.98,0.98,0,0,101.11,0,1.96,1.96,0,0.98
 84-94,0,0,2.12,0,21.24,1.06,0,261.26,0,4.25,41.42,1.06,0,1.06,1.06,0,0,0,24.43,0,2.12,1.06,1361.53,0,1.06,7.43,0,4.25,0,0,70.09,1.06,2.12,0,1.06,0
 96-106,0,0,2.19,0,20.76,1.09,2.19,181.41,0,0,46.99,0,0,0,0,2.19,1.09,0,16.39,0,3.28,4.37,1134.37,0,1.09,4.37,2.19,1.09,0,0,33.88,1.09,0,0,1.09,1.09
108-118,0,0,3.06,0.77,11.49,3.83,0,151.66,0,0,37.53,0.77,0.77,1.53,0,0,0,0,14.55,0,0,2.3,1260.78,1.53,2.3,3.06,0,2.3,0,0,16.85,0.77,0,0,0,0
120,1.96,0,0,1.96,13.72,0,0,158.74,5.88,0,37.24,0,0,1.96,0,0,1.96,0,17.64,1.96,0,0,1465.92,1.96,1.96,5.88,1.96,0,0,0,33.32,0,0,1.96,0,0
