stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
 24-34,0,0,0,1.64,0,2.46,0,0,0.82,0,0,0,0,0,0,0,4.1,0,0,21.34,0,0,0,65.67,0,4.1,0,0.82,0,0
 36-46,0,0,0,0,0,0.81,0,0,1.61,1.61,0,0,0,0,0.81,0,3.22,0,0.81,36.26,0,0.81,0,39.48,0,8.06,0,0.81,0,0
 48-58,0,0,0,0,0,4.02,0.57,0.57,3.44,10.9,0,0,0,0,0.57,0.57,1.15,0,0.57,21.23,0,0,0,30.41,0.57,4.59,0,0,0,0
 60-70,0,0,0,0,0,8.83,0,0.98,0,23.56,0,0,0,0,0.98,0.98,3.93,0,0,29.45,0,0,1.96,32.39,0,4.91,0,0,0,0
 72-82,0,3.93,0,0.98,0,3.93,0,0.98,0,138.41,0,0,0,0,0.98,0,2.94,0.98,0,26.5,0,0,0,69.7,0.98,0,0.98,0,0,0.98
 84-94,0,0,2.12,1.06,0,3.19,0,0,2.12,255.95,0,1.06,0,0,1.06,0,4.25,0,1.06,16.99,0,0,1.06,148.69,0,0,0,0,0,0
 96-106,0,3.28,3.28,1.09,2.19,5.46,0,0,3.28,310.37,1.09,2.19,1.09,1.09,1.09,0,6.56,1.09,0,34.97,0,0,1.09,153,0,0,0,0,0,0
108-118,0,0,3.06,0,0,5.36,0,0,1.53,280.34,0,0,0,0,0,0,6.89,0,0,31.4,0,0,0.77,128.68,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,178.34,1.96,0,0,0,3.92,0,7.84,0,0,19.6,1.96,0,0,70.55,0,0,0,0,0,0
