stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,66.09,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,5,1,0,1,0,0,24,0
 24-34,0,0,0,1.64,4.93,0,0.82,0,0,0,0,0,12.31,0,0,0,0,3.28,0,0,2.46,15.6,0.82,0,0,0,0,1.64,0,0,0,0.82,1.64,0,220.81,0
 36-46,0,0,0,0,0,0,2.42,0.81,0.81,0,0.81,0,8.06,0,0.81,0,0,1.61,0,0,0,26.59,0,0,0.81,0,0,0,0,0.81,0,0,4.03,0,165.97,0
 48-58,0,0,0,0.57,0,0,3.44,0,0,0.57,0.57,0,12.62,0,1.72,0,0,4.59,0,0,1.15,21.8,0,0.57,0.57,0,0,0.57,0,0,0,0,1.72,0,158.94,0
 60-70,0,0.98,0,0,0,0,11.78,0,0,0,2.94,0,14.72,0.98,0,0.98,0.98,6.87,0.98,0,0,24.54,0,0.98,0,0,0,2.94,0,0,0,0,0.98,0,138.39,0.98
 72-82,0,0,0.98,2.94,0,0,11.78,0,0,0,4.91,0,21.6,1.96,0.98,0,0,15.71,0,0,0.98,20.61,0,0,0,0,0,0.98,0,0,0,0,7.85,1.96,267.99,0
 84-94,0,0,0,0,2.12,0,11.68,0,0,0,3.19,1.06,13.81,0,0,0,0,9.56,0,0,0,14.87,0,0,1.06,0,0,2.12,0,0,0,0,1.06,0,227.28,0
 96-106,0,0,0,2.19,2.19,0,7.65,1.09,0,2.19,6.56,1.09,31.69,2.19,4.37,2.19,0,10.93,0,0,0,27.32,0,3.28,1.09,0,1.09,2.19,0,2.19,0,0,1.09,0,295.07,0
108-118,0,0,0,0.77,1.53,2.3,5.36,0,0,0,3.83,0,15.32,2.3,0.77,0.77,0,14.55,0,0,0.77,15.32,0,0.77,0.77,0,0,0.77,0,2.3,0,0,0.77,0,210.64,0
120,0,0,0,0,0,0,11.76,0,0,0,3.92,1.96,15.68,0,0,0,0,3.92,0,1.96,0,15.68,0,0,1.96,0,0,1.96,0,0,1.96,0,0,0,197.94,0
