stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,34.17,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,9.44,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,69.23,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,1,0,0,11,0,0,0,0
 24-34,0,0,0,3.28,0,0,6.57,0,0,0.82,0,0,0,0,0,0,0,0,0,3.28,0,0,2.46,55.82,0,0,0,0,0,3.28,0,0,2.46,22.16,0,1.64,0,0
 36-46,0,0,0,0.81,0,0,3.22,0,0,2.42,0,0.81,0,0,0,0,0,0,0,7.25,0,0,0.81,51.56,0.81,4.03,0.81,0,0,5.64,0,0,0,9.67,0,0,0,0
 48-58,0,0,0,0.57,0,0,10.33,0.57,0,4.02,0,0.57,0,0,0,0,0.57,0,0,0,0.57,0,0.57,51.64,0,0,0.57,0,0,0.57,0,0,0,13.2,0,0,0,0
 60-70,0,0,0,0.98,0,0,14.72,0,0,5.89,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0,52.02,0,0,0.98,0,0.98,0.98,0,0,0,12.76,0,0,0,0
 72-82,0,0,0,3.93,0.98,0,28.47,0.98,0,16.69,0.98,0,0,0,0.98,0,0.98,0,0,5.89,0.98,0,1.96,77.55,0,1.96,2.94,0,0,2.94,0,0,0,14.72,0,0,0.98,0
 84-94,0,1.06,0,5.31,0,0,10.62,0,0,12.74,2.12,0,1.06,1.06,1.06,2.12,0,0,0,4.25,0,1.06,0,30.8,0,0,3.19,0,0,8.5,0,0,0,3.19,1.06,1.06,0,1.06
 96-106,0,1.09,0,3.28,0,1.09,19.67,0,1.09,6.56,2.19,0,1.09,0,0,0,1.09,0,1.09,6.56,1.09,0,2.19,25.14,0,3.28,7.65,0,0,8.74,0,0,0,1.09,1.09,0,0,0
108-118,0,0.77,0,3.06,0,0.77,9.19,0,0,11.49,1.53,0,0,0.77,0.77,0,0.77,0,0,4.6,0,0,0,53.62,0.77,0,6.89,0,0,3.06,0,0.77,0,0.77,0.77,1.53,0,0
120,0,0,0,1.96,0,0,19.6,1.96,0,13.72,1.96,0,0,0,1.96,0,0,3.92,0,15.68,0,0,0,47.03,0,1.96,5.88,0,0,13.72,0,0,0,1.96,0,0,0,0
