stage,blastomeres,endocrine_pancreas,eye,fin_epithelia,glial,liver,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,3.15,3.15,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,2
 24-34,0,0.82,0,0,0,0,0,4.1,0,0,0.82,0.82,0.82
 36-46,0,1.61,0,0.81,0,0,0,7.25,0,0,0,0,1.61
 48-58,0,0,1.15,0,0,0,1.15,7.46,0,0,0,0,1.15
 60-70,0,0,7.85,0,0.98,0,0,20.61,0,0,0,0,0
 72-82,0,0,7.85,0,0.98,0,0.98,18.65,0,0,1.96,0,0.98
 84-94,0,0,1.06,2.12,1.06,0,0,14.87,0,0,2.12,0,1.06
 96-106,0,0,3.28,1.09,0,1.09,2.19,8.74,2.19,0,3.28,0,1.09
108-118,0,0,3.06,4.6,0.77,0,0,11.49,0,0,0,0,0
120,0,0,0,1.96,0,0,1.96,5.88,0,0,3.92,0,0
