stage,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,mesenchyme,mucous,neural,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,0,0
 14-21,1,1,0,0,0,0,0,0,0,0,6,0,0,1,1,0
 24-34,0,0.82,0,3.28,0,0,0,0.82,0,0,13.95,0,1.64,0,1.64,0.82
 36-46,0,0,0,1.61,0,0,0,0,0,0,3.22,0,0.81,0,0,0
 48-58,0,0,0.57,1.72,0.57,0,0,0,0.57,0,2.87,0,0,0,1.15,0
 60-70,0,0,0,0,0,0,0,0,0,0,1.96,0,0.98,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,0,1.06,1.06,0,0,1.06,0,1.06,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0
120,0,0,0,0,0,1.96,1.96,0,0,1.96,0,0,0,0,0,0
