stage,axial,blastomeres,endoderm,eye,glial,hatching_gland,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros
  3-4,0,237.2,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,894.93,0,0,0,0,18.39,0,0,0,6.13,0,0
  7-9,18.4,15.77,10.51,31.54,0,18.4,423.22,10.51,0,149.84,2.63,0,0
 10-12,0,12.59,18.88,22.03,0,3.15,217.14,12.59,0,75.53,0,3.15,3.15
 24-34,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,2.42,0,0,0,0,0,0
 48-58,0,0,0,0.57,0.57,0,0,0,0.57,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0
