stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,1,0,5,4,0
 24-34,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0,0,20.52,0,0,1.64,0,0,0,6.57,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,3.22,0,0.81,15.31,0,0,1.61,0,0,0,2.42,0
 48-58,0,0,0,0,2.3,0.57,0,0,0,0,0,0,1.72,0,0,16.07,0.57,0,0,0,0,0,4.02,0.57
 60-70,0,0,0,0,1.96,0,0.98,0.98,0,0.98,0,0,0,0,0,10.8,0,0,0.98,0,0.98,0,0.98,0
 72-82,0,0,0,0,3.93,0,0,0.98,0,0,0,0,1.96,0,0.98,10.8,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,3.19,0,0,0,1.06,0,0,1.06,2.12,1.06,0,5.31,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,1.09,1.09,0,0,1.09,0,0,1.09,0,1.09,0,0,1.09,0,0,2.19,0,0,0,0,1.09
108-118,0,0,0.77,0.77,1.53,0,0,0,2.3,0,0,0,1.53,0,0,2.3,0,0,1.53,0,0,0,0,0
120,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,1.96,1.96,0,1.96,0,0,0,0,0
