stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,220.67,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,5.26,0,0,0,18.4,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,144.58,5.26,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,3.15,0,25.18,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,242.32,15.73,0,0,119.58,0,0,0,0,12.59,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,23,8,0,7,0,0,0,1,3,0,1,0,1,0,0,0,0,14,0,9,118,5,2,0,4,0,2,1,17,0,4,41,73,0,0,2,0,0
 24-34,0,0,0,4.1,14.78,0.82,0,18.88,0,0,0,9.03,0,0,2.46,0,0,0,0.82,0,0,27.09,0,11.49,331.63,1.64,2.46,2.46,0,0,9.03,0,0,0.82,2.46,10.67,96.04,0,0,7.39,0,0.82
 36-46,0,0,0.81,0,4.83,0,0,57.2,0,0.81,1.61,17.72,0.81,0,1.61,0,0,0,0,0.81,0.81,29.81,0,8.06,572.03,1.61,6.45,4.03,0,0,7.25,0.81,0,0,0.81,0.81,143.41,0,0,2.42,0,0.81
 48-58,0,0,0,0,1.15,0,0,90.09,0.57,2.87,0.57,43.04,0,0,0.57,0.57,0,0,0,0,0.57,41.31,2.3,5.74,464.21,0,3.44,1.15,0,0.57,3.44,0,0,0,1.15,0,130.25,0,0,5.74,0,1.15
 60-70,0,0,0,0,6.87,0,0,176.67,0.98,3.93,3.93,53.98,0,0,0,0.98,0,0,1.96,0,0.98,48.09,3.93,1.96,500.58,0,4.91,0,0,0.98,2.94,0,0,0.98,0.98,0,76.56,0,0.98,3.93,0,2.94
 72-82,0,0,0,0,5.89,1.96,0,165.9,1.96,0.98,0,60.86,0.98,0,2.94,0.98,0,0.98,2.94,0,0,75.59,0.98,7.85,389.72,0.98,7.85,1.96,0,0.98,2.94,0,0,0.98,0,0,39.27,0.98,1.96,7.85,3.93,1.96
 84-94,0,0,1.06,0,14.87,2.12,0,90.27,1.06,3.19,1.06,40.36,1.06,0,0,2.12,1.06,3.19,2.12,1.06,0,40.36,1.06,8.5,195.41,3.19,2.12,4.25,0,0,8.5,0,0,1.06,0,0,27.61,0,1.06,2.12,2.12,1.06
 96-106,0,0,1.09,0,9.84,3.28,1.09,86.33,1.09,1.09,1.09,32.79,3.28,0,1.09,1.09,1.09,4.37,1.09,0,1.09,53.55,3.28,8.74,193.43,0,3.28,2.19,0,1.09,4.37,0,0,0,0,0,9.84,1.09,1.09,7.65,4.37,0
108-118,0,0,0.77,0,13.79,1.53,0,45.96,1.53,1.53,0.77,29.87,2.3,0,0.77,0.77,0.77,3.83,2.3,0,0.77,33.7,1.53,6.13,155.49,1.53,3.06,2.3,0,0.77,4.6,0,0,0,0.77,0,3.06,0,0.77,6.13,0.77,0.77
120,0,0,0,0,5.88,3.92,0,54.87,1.96,7.84,0,11.76,3.92,0,1.96,1.96,1.96,1.96,0,1.96,0,21.56,0,3.92,141.1,0,5.88,1.96,0,0,1.96,0,0,1.96,0,0,7.84,0,0,9.8,0,3.92
