stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,337.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,5.26,0,7.89,0,0,0,36.8,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,231.33,10.51,0,0,115.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,3.15,0,15.73,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,220.29,12.59,0,0,53.5,0,3.15,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,28,6,0,7,0,0,2,0,1,1,0,2,0,0,0,0,11,0,0,8,82,6,0,3,0,0,7,23,1,2,43,20,0,0,0,0,1
 24-34,0,0,0,2.46,9.85,0,0,9.03,1.64,0,3.28,0.82,0,0,0.82,3.28,0,0,2.46,2.46,9.03,1.64,0,5.75,59.92,0.82,0.82,1.64,0,0,13.95,0.82,4.1,0,5.75,16.42,0,0,4.93,0,0
 36-46,0,0,0,0,2.42,0,0,2.42,0,1.61,0.81,0.81,0,0,0,1.61,0,0.81,0.81,0,2.42,0,0,1.61,20.95,0,0.81,0,0,0,8.06,0,0.81,0.81,0,8.06,0,0,0,0,0
 48-58,0,0,0,0,2.3,0,0,9.75,0,0,6.31,0,0,0.57,1.72,0,0,0,0,1.15,11.48,0.57,0,0.57,64.27,0.57,1.72,0.57,0,0,5.16,0,0,0,0,12.05,0,0,1.15,0,0.57
 60-70,0,0,0,0,0.98,0,0,9.82,0,0,4.91,0,0.98,0,0,0,0,0.98,0,0.98,12.76,0,0,0,40.24,0,0,0,0,0,7.85,0,0,0,0,3.93,0,0.98,0,0,0
 72-82,0,0,0,0,1.96,0.98,0,16.69,0,0.98,4.91,0.98,0,0,0,0,0,0,0,0,10.8,0.98,0,3.93,33.38,0,1.96,0.98,0,0,4.91,0,0,0,0,5.89,0,0,0.98,0,0
 84-94,0,0,0,0,4.25,0,0,13.81,2.12,0,2.12,1.06,3.19,0,1.06,1.06,3.19,0,0,0,10.62,1.06,0,4.25,13.81,0,0,0,0,1.06,13.81,0,1.06,1.06,0,1.06,0,0,4.25,1.06,0
 96-106,0,0,0,0,3.28,0,1.09,5.46,0,0,3.28,1.09,0,0,2.19,0,0,2.19,1.09,0,9.84,0,1.09,0,14.21,0,1.09,3.28,0,0,13.11,0,0,0,0,1.09,0,0,3.28,1.09,0
108-118,0,0,0.77,0.77,9.96,0.77,0,3.06,1.53,1.53,3.83,2.3,0,0,0.77,0.77,0,0,1.53,0,5.36,0.77,0,0.77,11.49,0,0.77,0,0,0,7.66,0,0,0,0,1.53,1.53,0,0.77,0,0
120,0,0,0,0,9.8,0,0,3.92,0,0,1.96,1.96,0,0,0,0,0,0,0,0,7.84,0,0,0,3.92,0,0,0,0,0,9.8,0,0,1.96,0,1.96,1.96,0,0,0,0
