stage,epidermis,erythrocytes,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
 24-34,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,2.46
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,1.61,0.81,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0.57,0.57
 60-70,0,0,0,0,0,0.98,0,0,0,0,1.96,0,0,0.98,0,0,0,0,0,0.98,0
 72-82,0,0.98,0,0,0,3.93,0,0,0,0.98,1.96,0,0.98,1.96,0.98,0,0,0,0,0,1.96
 84-94,0,0,0,1.06,0,9.56,1.06,0,0,0,0,0,0,2.12,1.06,0,0,6.37,0,0,1.06
 96-106,3.28,1.09,1.09,2.19,1.09,20.76,1.09,0,1.09,1.09,0,0,0,1.09,0,0,0,6.56,0,0,3.28
108-118,3.06,0.77,0,3.06,2.3,8.43,0,0,0.77,0,3.06,0,1.53,1.53,0,0,0.77,6.13,0,0,6.89
120,5.88,0,0,0,1.96,7.84,0,1.96,0,0,0,1.96,0,3.92,1.96,0,0,11.76,0,0,3.92
